Code,Model,Passengers,
A124,Antonov An-124 Ruslan,0,
A140,Antonov An-140,52,
A148,Antonov An-148,100,
A158,Antonov An-158,100,
A19N,Airbus A319neo,140,
A20N,Airbus A320neo,165,
A21N,Airbus A321neo,185,
A225,Antonov An-225 Mriya,0,
A306,Airbus A300-600,266,
A306,Airbus A300-600 Freighter,0,
A30B,"Airbus A300B2, A300B4 and A300C4",228,
A310,Airbus A310-200,187,
A310,Airbus A310-300,240,
A318,Airbus A318,107,
A318,Airbus A318 (sharklets),140,
A319,Airbus A319,140,
A319,Airbus A319 (sharklets),140,
A320,Airbus A320,165,
A320,Airbus A320 (sharklets),165,
A321,Airbus A321,185,
A321,Airbus A321 (sharklets),185,
A332,Airbus A330-200,259,
A333,Airbus A330-300,440,
A332,Airbus A330-200 Freighter,0,
A333,Airbus A330-300 Freighter,0,
A337,"Airbus A330-700 ""BelugaXL""",0,
A338,Airbus A330-800,260,
A339,Airbus A330-900,300,
A342,Airbus A340-200,261,
A343,Airbus A340-300,295,
A345,Airbus A340-500,375,
A346,Airbus A340-600,440,
A359,Airbus A350-900,440,
A35K,Airbus A350-1000,440,
A388,Airbus A380-800,650,
A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",0,
A400,Airbus A400M Atlas,0,
A748,Hawker Siddeley HS 748,58,
AC68,Gulfstream/Rockwell (Aero) Commander 680,11,
AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,9,
AJ27,COMAC ARJ21,90,
AN12,Antonov An-12,20,
AN24,Antonov An-24,52,
AN26,Antonov An-26,52,
AN28,Antonov An-28,17,
AN30,Antonov An-30,16,
AN32,Antonov An-32,50,
AN72,Antonov An-72 / An-74,68,
AS32,Eurocopter AS332 Super Puma,19,
AS50,Eurocopter AS350 Écureuil / AS550 Fennec,6,
AT43,Aerospatiale/Alenia ATR 42-300 / 320,48,
AT45,Aerospatiale/Alenia ATR 42-500,48,
AT46,Aerospatiale/Alenia ATR 42-600,78,
AT72,Aerospatiale/Alenia ATR 72-201/-202,78,
AT73,Aerospatiale/Alenia ATR 72-211/-212,78,
AT75,Aerospatiale/Alenia ATR 72-212A (500),78,
AT76,Aerospatiale/Alenia ATR 72-212A (600),78,
ATP,British Aerospace ATP,64,
B06,Bell 206 JetRanger,4,
B06T,Bell 206 TwinRanger,5,
B105,Eurocopter (MBB) Bo.105,5,
B190,Beechcraft 1900,19,
B212,Bell 212,13,
B37M,Boeing 737 MAX 7,172,
B38M,Boeing 737 MAX 8,210,
B39M,Boeing 737 MAX 9,220,
B3XM,Boeing 737 MAX 10,230,
B412,Bell 412,13,
B429,Bell 429,7,
B461,BAe 146-100 / Avro RJ70,82,
B462,BAe 146-200 / Avro RJ85,100,
B463,BAe 146-300 / Avro RJ100,112,
B52,Boeing B-52 Stratofortress,0,
B703,Boeing 707,189,
B712,Boeing 717,106,
B720,Boeing 720B,136,
B721,Boeing 727-100,131,
B722,Boeing 727-200,189,
B732,Boeing 737-200,130,
B732,Boeing 737-200 Freighter,0,
B733,Boeing 737-300,149,
B733,Boeing 737-300 Winglets,149,
B733,Boeing 737-300 Freighter,0,
B734,Boeing 737-400,149,
B734,Boeing 737-400 Freighter,0,
B735,Boeing 737-500,145,
B735,Boeing 737-500 Winglets,145,
B736,Boeing 737-600,130,
B738,Boeing 737-800,189,
B739,Boeing 737-900 / Boeing 737-900ER,220,
B737,Boeing 737-700 / Boeing 737-700ER,149,
B737,Boeing 737-700 Winglets,149,
B738,Boeing 737-800 Winglets,189,
B738,Boeing 737-800 Freighter Winglets,0,
B738,Boeing 737-800 Freighter,0,
B739,Boeing 737-900 Winglets,220,
B741,Boeing 747-100,366,
B741,Boeing 747-100 Freighter,0,
B742,Boeing 747-200,660,
B742,Boeing 747-200M,452,
B742,Boeing 747-200F,0,
B743,Boeing 747-300,496,
B743,Boeing 747-300M,660,
B744,Boeing 747-400 / Boeing 747-400ER,660,
B744,Boeing 747-400M,660,
B744,Boeing 747-400F / Boeing 747-400ERF,0,
B748,Boeing 747-8I,524,
B748,Boeing 747-8F,0,
B74R,Boeing 747SR,550,
B74R,Boeing 747SR Freighter,0,
B74S,Boeing 747SP,232,
B752,Boeing 757-200,200,
B752,Boeing 757F,0,
B753,Boeing 757-300,243,
B762,Boeing 767-200 / Boeing 767-200ER,224,
B762,Boeing 767-200 Freighter / Boeing 767-200ER,0,
B763,Boeing 767-300,269,
B763,Boeing 767-300 Winglets / Boeing 767-300ER,269,
B763,Boeing 767-300 Freighter,0,
B764,Boeing 767-400ER,245,
B772,Boeing 777-200 / Boeing 777-200ER,440,
B773,Boeing 777-300,550,
B778,Boeing 777-8,426,
B779,Boeing 777-9,426,
B77L,Boeing 777-200 Freighter,0,
B77L,Boeing 777-200LR,440,
B77W,Boeing 777-300ER,550,
B788,Boeing 787-8,290,
B789,Boeing 787-9,296,
B78X,Boeing 787-10,330,
BA11,British Aerospace (BAC) One Eleven,119,
BCS1,Airbus A220-100,133,
BCS3,Airbus A220-300,160,
BE20,Beechcraft (Super) King Air 200,13,
BE40,Hawker 400,7,
BE55,Beechcraft 55 Baron,6,
BE58,Beechcraft 58 Baron,6,
BE76,Beechcraft Model 76 Duchess,2,
BE99,Beechcraft Model 99,15,
BELF,Shorts SC-5 Belfast,0,
BER2,Beriev Be-200 Altair,0,
BLCF,Boeing 747 LCF Dreamlifter,0,
BN2P,Pilatus Britten-Norman BN-2A/B Islander,,
C130,Lockheed L-182 / 282 / 382 (L-100) Hercules,,
C208,Cessna 208 Caravan,,
C212,CASA / IPTN 212 Aviocar,26,
C25A,Cessna Citation CJ2,8,
C25B,Cessna Citation CJ3,9,
C25C,Cessna Citation CJ4,10,
C30J,Lockheed Martin C-130J Hercules,0,
C310,Cessna 310,6,
C46,Curtiss C-46 Commando,0,
C5M,Lockheed C-5M Super Galaxy,0,
C500,Cessna Citation I,7,
C510,Cessna Citation Mustang,5,
C525,Cessna CitationJet,8,
C550,Cessna Citation II,10,
C560,Cessna Citation V,11,
C56X,Cessna Citation Excel,9,
C650,"Cessna Citation III, VI, VII",16,
C680,Cessna Citation Sovereign,12,
C700,Cessna Citation Longitude,12,
C750,Cessna Citation X,12,
C919,COMAC C919,0,
CL2T,Bombardier 415,0,
CL30,Bombardier BD-100 Challenger 300,16,
CL60,Canadair Challenger 600,19,
CN35,CASA/IPTN CN-235,0,
CONI,Lockheed L-1049 Super Constellation,0,
CRJ1,Canadair Regional Jet 100,50,
CRJ2,Canadair Regional Jet 200,50,
CRJ7,Canadair Regional Jet 700 | Regional Jet 550,78,
CRJ9,Canadair Regional Jet 900,90,
CRJX,Canadair Regional Jet 1000,104,
CVLP,Convair CV-240 & -440,52,
CVLT,"Convair CV-580, Convair CV-600, Convair CV-640",52,
D228,Dornier 228,19,
D328,Fairchild Dornier Do.328,32,
DA42,Diamond DA42,4,
DA62,Diamond DA62,7,
DC10,Douglas DC-10-10 / -15 Passenger,380,
DC10,Douglas DC-10-30 / -40 Passenger,0,
DC10,Douglas DC-10-30 Combi,0,
DC10,Douglas DC-10-10 Freighter,0,
DC10,Douglas DC-10-30 / -40 Freighter,0,
DC3,Douglas DC-3,32,
DC6,Douglas DC-6,56,
DC85,Douglas DC-8-50,189,
DC86,Douglas DC-8-62,189,
DC87,Douglas DC-8-72,0,
DC91,Douglas DC-9-10,75,
DC92,Douglas DC-9-20,75,
DC93,Douglas DC-9-30,115,
