ident;type;name;continent;iso_country
BG-JAM;medium_airport;Bezmer Air Base;EU;BG
BIAR;medium_airport;Akureyri Airport;EU;IS
BIEG;medium_airport;Egilsstaðir Airport;EU;IS
BIHN;medium_airport;Hornafjörður Airport;EU;IS
BIHU;medium_airport;Húsavík Airport;EU;IS
BIIS;medium_airport;Ísafjörður Airport;EU;IS
BIKF;large_airport;Keflavik International Airport;EU;IS
BIRK;medium_airport;Reykjavik Airport;EU;IS
BISI;medium_airport;Siglufjörður Airport;EU;IS
BIVM;medium_airport;Vestmannaeyjar Airport;EU;IS
BKPR;medium_airport;Priština Adem Jashari International Airport;EU;XK
BY-0001;medium_airport;Orsha Airport - Balbasovo Air Base;EU;BY
BY-0003;medium_airport;Bobrovichi Air Base;EU;BY
BY-0006;medium_airport;Osovtsy Air Base;EU;BY
EBAW;medium_airport;Antwerp International Airport (Deurne);EU;BE
EBBE;medium_airport;Beauvechain Air Base;EU;BE
EBBL;medium_airport;Kleine Brogel Air Base;EU;BE
EBBR;large_airport;Brussels Airport;EU;BE
EBCI;medium_airport;Brussels South Charleroi Airport;EU;BE
EBCV;medium_airport;Chièvres Air Base;EU;BE
EBFN;medium_airport;Koksijde Air Base;EU;BE
EBFS;medium_airport;Florennes Air Base;EU;BE
EBKT;medium_airport;Wevelgem Airport;EU;BE
EBLG;medium_airport;Liège Airport;EU;BE
EBOS;medium_airport;Ostend-Bruges International Airport;EU;BE
EDAC;medium_airport;Altenburg-Nobitz Airport;EU;DE
EDAH;medium_airport;Heringsdorf Airport;EU;DE
EDBN;medium_airport;Neubrandenburg Airport;EU;DE
EDBR;medium_airport;Rothenburg/Görlitz Airfield;EU;DE
EDDB;large_airport;Berlin Brandenburg Airport;EU;DE
EDDC;medium_airport;Dresden Airport;EU;DE
EDDE;medium_airport;Erfurt Airport;EU;DE
EDDF;large_airport;Frankfurt Airport;EU;DE
EDDG;medium_airport;Münster Osnabrück Airport;EU;DE
EDDH;large_airport;Hamburg Helmut Schmidt Airport;EU;DE
EDDK;large_airport;Cologne Bonn Airport;EU;DE
EDDL;large_airport;Düsseldorf Airport;EU;DE
EDDM;large_airport;Munich Airport;EU;DE
EDDN;large_airport;Nuremberg Airport;EU;DE
EDDP;large_airport;Leipzig/Halle Airport;EU;DE
EDDR;medium_airport;Saarbrücken Airport;EU;DE
EDDS;large_airport;Stuttgart Airport;EU;DE
EDDV;large_airport;Hannover Airport;EU;DE
EDDW;medium_airport;Bremen Airport;EU;DE
EDFE;medium_airport;Frankfurt-Egelsbach Airport;EU;DE
EDFH;medium_airport;Frankfurt-Hahn Airport;EU;DE
EDFM;medium_airport;Mannheim-City Airport;EU;DE
EDFZ;medium_airport;Mainz-Finthen Airport;EU;DE
EDGE;medium_airport;Eisenach-Kindel Airport;EU;DE
EDGS;medium_airport;Siegerland Airport;EU;DE
EDHI;medium_airport;Hamburg-Finkenwerder Airport;EU;DE
EDHK;medium_airport;Kiel-Holtenau Airport;EU;DE
EDHL;medium_airport;Lübeck Blankensee Airport;EU;DE
EDJA;medium_airport;Memmingen Allgau Airport;EU;DE
EDLN;medium_airport;Mönchengladbach Airport;EU;DE
EDLP;medium_airport;Paderborn Lippstadt Airport;EU;DE
EDLV;medium_airport;Weeze Airport;EU;DE
EDLW;medium_airport;Dortmund Airport;EU;DE
EDMA;medium_airport;Augsburg Airport;EU;DE
EDMO;medium_airport;Oberpfaffenhofen Airport;EU;DE
