ADEP,ADES,filed_time_difference,AC Type,actual_departure,filename,is_during_covid,delay_departure,delay_arrival
EHAM,LGMK,11836,B738,2018-09-01T01:55:00.000+02:00,2018_09,false,-300,-299
EHAM,LGKR,9852,B738,2018-09-01T02:24:00.000+02:00,2018_09,false,-360,-656
EHAM,LGPZ,10402,B738,2018-09-01T03:02:00.000+02:00,2018_09,false,-180,-86
EHAM,LGZA,10938,B738,2018-09-01T02:55:00.000+02:00,2018_09,false,-600,-535
EHAM,LGPZ,10324,B738,2018-09-01T02:57:00.000+02:00,2018_09,false,-480,-406
EHAM,LGKF,10385,B738,2018-09-01T03:10:00.000+02:00,2018_09,false,0,416
EHAM,LGZA,11024,B738,2018-09-01T03:05:00.000+02:00,2018_09,false,-300,-258
EHAM,LGZA,10939,B738,2018-09-01T03:25:00.000+02:00,2018_09,false,-300,-161
EHAM,LEMG,9193,B737,2018-09-01T04:12:00.000+02:00,2018_09,false,720,1514
EHAM,LEBL,6973,B738,2018-09-01T04:10:00.000+02:00,2018_09,false,600,586
EHAM,LGKR,9770,B738,2018-09-01T03:56:00.000+02:00,2018_09,false,-240,-331
EHAM,LGKO,11469,B738,2018-09-01T04:31:00.000+02:00,2018_09,false,1260,2019
EHAM,LEIB,8834,B738,2018-09-01T04:07:00.000+02:00,2018_09,false,-180,-197
EHAM,LIPX,5889,B738,2018-09-01T04:15:00.000+02:00,2018_09,false,0,91
EHAM,LIRP,6470,B738,2018-09-01T04:35:00.000+02:00,2018_09,false,1200,1419
EHAM,LEVC,7949,B738,2018-09-01T04:36:00.000+02:00,2018_09,false,1260,910
EHAM,LFMN,6500,B738,2018-09-01T04:48:00.000+02:00,2018_09,false,1680,1507
EHAM,LPPT,10099,B738,2018-09-01T04:36:00.000+02:00,2018_09,false,960,1595
EHAM,LPMA,13635,B738,2018-09-01T04:18:00.000+02:00,2018_09,false,-120,444
EHBK,LGRP,11716,B738,2018-09-01T04:41:00.000+02:00,2018_09,false,1260,1408
EHAM,LGIR,12325,B738,2018-09-01T04:55:00.000+02:00,2018_09,false,1800,1752
EHAM,LEGE,7149,B738,2018-09-01T04:33:00.000+02:00,2018_09,false,180,-563
EHAM,LGAV,11328,B738,2018-09-01T04:28:00.000+02:00,2018_09,false,-120,129
EHAM,LFPG,3651,B737,2018-09-01T04:38:00.000+02:00,2018_09,false,-120,341
EHAM,EBBR,2062,F100,2018-09-01T04:58:00.000+02:00,2018_09,false,480,371
EHAM,LOWW,5485,B737,2018-09-01T04:52:00.000+02:00,2018_09,false,120,828
EHAM,ESSA,6818,B738,2018-09-01T04:50:00.000+02:00,2018_09,false,0,164
EHAM,LKPR,4745,E190,2018-09-01T04:54:00.000+02:00,2018_09,false,240,265
EHAM,EDDL,2646,E75L,2018-09-01T04:52:00.000+02:00,2018_09,false,120,-277
EHAM,EDDT,3991,B737,2018-09-01T05:03:00.000+02:00,2018_09,false,480,590
EHAM,LEMG,9854,B738,2018-09-01T05:01:00.000+02:00,2018_09,false,360,916
EHRD,LEMG,9667,B737,2018-09-01T04:57:00.000+02:00,2018_09,false,120,201
EHAM,LEMD,8112,B737,2018-09-01T04:58:00.000+02:00,2018_09,false,-120,129
EHEH,LEBL,6429,B738,2018-09-01T05:15:00.000+02:00,2018_09,false,900,742
EHAM,EGLC,3249,E170,2018-09-01T05:02:00.000+02:00,2018_09,false,120,311
EHAM,LIRF,8087,A320,2018-09-01T05:16:24.000+02:00,2018_09,false,984,592
EHAM,LOWW,5618,A320,2018-09-01T05:15:00.000+02:00,2018_09,false,900,1978
EHAM,LBBG,10809,B738,2018-09-01T05:09:00.000+02:00,2018_09,false,540,8
EHAM,LFMN,6008,A320,2018-09-01T05:07:00.000+02:00,2018_09,false,420,595
EHAM,LIML,4918,A319,2018-09-01T05:02:00.000+02:00,2018_09,false,120,399
EHAM,LPPT,9811,A319,2018-09-01T05:41:00.000+02:00,2018_09,false,2460,2668
EHAM,LSGG,4596,E190,2018-09-01T04:58:00.000+02:00,2018_09,false,-120,-172
EHAM,LSZH,4180,A319,2018-09-01T05:20:23.000+02:00,2018_09,false,1223,1654
EHRD,LFTH,6274,B737,2018-09-01T04:59:46.000+02:00,2018_09,false,-14,-355
EHRD,EGLC,2662,E190,2018-09-01T04:55:00.000+02:00,2018_09,false,-600,-568
EHAM,EGKK,3898,A320,2018-09-01T05:04:00.000+02:00,2018_09,false,-60,-299
EHAM,EPWA,7257,E195,2018-09-01T05:16:11.000+02:00,2018_09,false,671,-391
EHEH,LEVC,7666,B738,2018-09-01T05:14:00.000+02:00,2018_09,false,540,-35
EHAM,EGLC,3391,E190,2018-09-01T05:08:00.000+02:00,2018_09,false,180,288
EHAM,LSZH,3858,E190,2018-09-01T05:21:00.000+02:00,2018_09,false,960,1585
EHRD,LEAM,8933,B737,2018-09-01T05:17:00.000+02:00,2018_09,false,600,357
EHAM,EDDH,3454,F100,2018-09-01T05:10:00.000+02:00,2018_09,false,0,200
EHAM,EGPH,4785,B737,2018-09-01T05:09:00.000+02:00,2018_09,false,-60,-47
EHRD,LIRF,7345,B737,2018-09-01T05:24:00.000+02:00,2018_09,false,780,276
EHAM,LFPG,3582,B737,2018-09-01T05:12:00.000+02:00,2018_09,false,-180,151
EHAM,LIRF,7240,B738,2018-09-01T05:16:00.000+02:00,2018_09,false,60,-303
EHAM,EDDM,4589,E190,2018-09-01T05:21:00.000+02:00,2018_09,false,360,294
EHRD,LIPZ,6149,B737,2018-09-01T05:17:00.000+02:00,2018_09,false,120,-85
EHAM,LDDU,7583,A320,2018-09-01T05:18:13.000+02:00,2018_09,false,133,854
EHEH,LEMG,9515,B738,2018-09-01T05:20:00.000+02:00,2018_09,false,0,-37
EHAM,EGLL,3459,B738,2018-09-01T05:32:00.000+02:00,2018_09,false,720,1327
EHAM,LGRP,12948,B738,2018-09-01T05:44:00.000+02:00,2018_09,false,1440,1068
EHAM,LFBD,5130,A320,2018-09-01T05:31:00.000+02:00,2018_09,false,660,932
EHAM,LIRF,7576,A319,2018-09-01T05:24:00.000+02:00,2018_09,false,240,54
EHAM,LEBL,6581,A320,2018-09-01T05:31:00.000+02:00,2018_09,false,360,785
EHAM,LPMA,14787,B738,2018-09-01T05:23:00.000+02:00,2018_09,false,-120,457
EHAM,LSGG,5155,A319,2018-09-01T05:30:00.000+02:00,2018_09,false,300,126
EHAM,LFML,6213,A320,2018-09-01T05:40:00.000+02:00,2018_09,false,600,389
EHEH,LEAL,7851,B738,2018-09-01T05:27:00.000+02:00,2018_09,false,-180,77
EHAM,EKCH,4719,B738,2018-09-01T05:30:00.000+02:00,2018_09,false,0,-289
EHGG,EGMC,4374,AT76,2018-09-01T05:35:00.000+02:00,2018_09,false,0,-149
EHAM,LEMD,7899,A320,2018-09-01T05:42:00.000+02:00,2018_09,false,420,347
EHEH,LIPH,5242,B738,2018-09-01T05:52:00.000+02:00,2018_09,false,780,713
EHAM,EIDW,5135,E75L,2018-09-01T05:45:00.000+02:00,2018_09,false,300,175
