origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,ENGM,5708,E190,2021-12-01T06:50:42.000+01:00,20211201_20211231,true,""
EHAM,LKPR,3758,E75L,2021-12-01T06:56:37.000+01:00,20211201_20211231,true,""
EHAM,LIRF,6387,B738,2021-12-01T06:59:38.000+01:00,20211201_20211231,true,""
EHAM,ESSA,5753,E75L,2021-12-01T07:04:17.000+01:00,20211201_20211231,true,""
EHAM,LEAL,8309,B737,2021-12-01T07:07:06.000+01:00,20211201_20211231,true,""
EHAM,LEMG,10096,B738,2021-12-01T07:09:41.000+01:00,20211201_20211231,true,""
EHAM,LEMD,8135,A320,2021-12-01T07:22:35.000+01:00,20211201_20211231,true,""
EHAM,LIMC,4397,B748,2021-12-01T07:24:36.000+01:00,20211201_20211231,true,""
EHAM,EGLL,3045,B737,2021-12-01T07:28:14.000+01:00,20211201_20211231,true,""
EHAM,LEZL,9224,B738,2021-12-01T07:29:21.000+01:00,20211201_20211231,true,""
EHAM,LPFR,10088,B738,2021-12-01T07:34:05.000+01:00,20211201_20211231,true,""
EHAM,EDDM,4071,B744,2021-12-01T07:35:26.000+01:00,20211201_20211231,true,""
EHEH,LPFR,10022,B738,2021-12-01T07:38:26.000+01:00,20211201_20211231,true,""
EHAM,EIDW,4481,E190,2021-12-01T07:43:09.000+01:00,20211201_20211231,true,""
EHAM,LEMD,8867,E75L,2021-12-01T07:47:04.000+01:00,20211201_20211231,true,""
EHAM,LEBL,6566,B738,2021-12-01T07:52:59.000+01:00,20211201_20211231,true,""
EHAM,EDDM,3997,E190,2021-12-01T07:54:20.000+01:00,20211201_20211231,true,""
EHAM,EKCH,3200,B738,2021-12-01T08:04:09.000+01:00,20211201_20211231,true,""
EHAM,ESGG,4049,E190,2021-12-01T08:06:00.000+01:00,20211201_20211231,true,""
EHAM,EDDS,3296,E75L,2021-12-01T08:07:33.000+01:00,20211201_20211231,true,""
EHAM,EDDF,3115,A320,2021-12-01T08:17:45.000+01:00,20211201_20211231,true,""
EHAM,EDDB,3330,B738,2021-12-01T08:20:56.000+01:00,20211201_20211231,true,""
EHAM,EGPH,3761,E75L,2021-12-01T08:22:48.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2948,B738,2021-12-01T08:27:36.000+01:00,20211201_20211231,true,""
EHAM,LEBL,6619,E190,2021-12-01T08:29:39.000+01:00,20211201_20211231,true,""
EHAM,EKBI,2510,B737,2021-12-01T08:36:08.000+01:00,20211201_20211231,true,""
EHAM,EDDH,2332,B737,2021-12-01T08:38:19.000+01:00,20211201_20211231,true,""
EHAM,EGLL,3534,B737,2021-12-01T08:43:34.000+01:00,20211201_20211231,true,""
EHAM,EDDH,2678,A319,2021-12-01T08:46:30.000+01:00,20211201_20211231,true,""
EHAM,LIML,5016,B738,2021-12-01T08:58:08.000+01:00,20211201_20211231,true,""
EHAM,EDDV,2570,E75L,2021-12-01T09:22:36.000+01:00,20211201_20211231,true,""
EHAM,EPKK,5310,E75L,2021-12-01T09:24:09.000+01:00,20211201_20211231,true,""
EHAM,ELLX,2494,E190,2021-12-01T09:32:49.000+01:00,20211201_20211231,true,""
EHAM,EGPF,4447,E190,2021-12-01T09:36:30.000+01:00,20211201_20211231,true,""
EHAM,LSGG,4027,B737,2021-12-01T09:38:08.000+01:00,20211201_20211231,true,""
EHAM,LIMF,5160,E75L,2021-12-01T09:42:16.000+01:00,20211201_20211231,true,""
EHAM,LSZM,3782,E190,2021-12-01T09:43:14.000+01:00,20211201_20211231,true,""
EHAM,LROP,8028,B738,2021-12-01T09:43:57.000+01:00,20211201_20211231,true,""
EHAM,LFFI,4048,E190,2021-12-01T09:45:01.000+01:00,20211201_20211231,true,""
EHEH,LPPT,9560,B738,2021-12-01T09:46:00.000+01:00,20211201_20211231,true,""
EHAM,LFMN,5661,B738,2021-12-01T09:47:08.000+01:00,20211201_20211231,true,""
EHAM,EBMB,1324,E190,2021-12-01T09:49:46.000+01:00,20211201_20211231,true,""
EHAM,EPGD,4633,E75L,2021-12-01T09:51:02.000+01:00,20211201_20211231,true,""
EHAM,EDDS,3307,A319,2021-12-01T09:56:15.000+01:00,20211201_20211231,true,""
EHEH,EPMO,4943,B738,2021-12-01T10:04:00.000+01:00,20211201_20211231,true,""
EHAM,LSZH,3862,B738,2021-12-01T10:04:31.000+01:00,20211201_20211231,true,""
EHAM,EGCC,2847,B738,2021-12-01T10:08:13.000+01:00,20211201_20211231,true,""
EHAM,LIPZ,4960,E75L,2021-12-01T10:08:48.000+01:00,20211201_20211231,true,""
EHAM,EGPD,4072,E190,2021-12-01T10:10:30.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2713,A321,2021-12-01T10:11:34.000+01:00,20211201_20211231,true,""
EHAM,EGGW,2532,A319,2021-12-01T10:12:40.000+01:00,20211201_20211231,true,""
EHAM,EGNT,3743,E190,2021-12-01T10:15:04.000+01:00,20211201_20211231,true,""
EHAM,EFHK,6823,B738,2021-12-01T10:16:53.000+01:00,20211201_20211231,true,""
EHAM,LIRF,6320,B737,2021-12-01T10:19:14.000+01:00,20211201_20211231,true,""
EHAM,EPWA,5005,B737,2021-12-01T10:26:30.000+01:00,20211201_20211231,true,""
EHEH,LROP,7941,A321,2021-12-01T10:27:10.000+01:00,20211201_20211231,true,""
EHAM,LHBP,5412,B738,2021-12-01T10:28:17.000+01:00,20211201_20211231,true,""
EHAM,ENGM,4696,E190,2021-12-01T10:29:10.000+01:00,20211201_20211231,true,""
EHAM,EDDL,1634,E190,2021-12-01T10:38:43.000+01:00,20211201_20211231,true,""
EHAM,EGBB,2775,B737,2021-12-01T10:40:13.000+01:00,20211201_20211231,true,""
EHAM,EIDW,4176,A320,2021-12-01T10:41:01.000+01:00,20211201_20211231,true,""
EHAM,LOWW,4426,B738,2021-12-01T10:46:39.000+01:00,20211201_20211231,true,""
EHAM,LFBD,5136,E190,2021-12-01T10:47:31.000+01:00,20211201_20211231,true,""
EHAM,LPPR,8262,B738,2021-12-01T10:54:08.000+01:00,20211201_20211231,true,""
EHAM,EGLL,3388,B737,2021-12-01T10:56:30.000+01:00,20211201_20211231,true,""
EHAM,EETN,7064,BCS3,2021-12-01T11:12:32.000+01:00,20211201_20211231,true,""
EHAM,EIDW,4363,B738,2021-12-01T11:14:02.000+01:00,20211201_20211231,true,""
EHAM,LSZH,3577,BCS1,2021-12-01T11:21:01.000+01:00,20211201_20211231,true,""
EHAM,EGLL,3068,A319,2021-12-01T11:22:06.000+01:00,20211201_20211231,true,""
EHAM,EDDS,3136,E75L,2021-12-01T11:23:12.000+01:00,20211201_20211231,true,""
EHAM,EVRA,6142,BCS3,2021-12-01T11:25:00.000+01:00,20211201_20211231,true,""
EHAM,ESSA,5226,B738,2021-12-01T11:27:15.000+01:00,20211201_20211231,true,""
EHAM,LIRF,6566,A320,2021-12-01T11:28:01.000+01:00,20211201_20211231,true,""
EHAM,LOWW,4906,E195,2021-12-01T11:29:00.000+01:00,20211201_20211231,true,""
EHAM,EGGD,3146,A320,2021-12-01T11:38:11.000+01:00,20211201_20211231,true,""
EHAM,LIDU,4678,E190,2021-12-01T11:40:30.000+01:00,20211201_20211231,true,""
EHAM,EDDM,3401,A20N,2021-12-01T11:51:37.000+01:00,20211201_20211231,true,""
EHAM,LFBO,5758,E75L,2021-12-01T11:52:48.000+01:00,20211201_20211231,true,""
EHEH,LEMG,9867,B738,2021-12-01T12:00:43.000+01:00,20211201_20211231,true,""
EHAM,EDDF,2379,A319,2021-12-01T12:01:30.000+01:00,20211201_20211231,true,""
EHAM,LIMJ,5183,E75L,2021-12-01T12:03:33.000+01:00,20211201_20211231,true,""
EHAM,EGLC,2424,E190,2021-12-01T12:04:35.000+01:00,20211201_20211231,true,""
EHAM,LDZA,6861,DH8D,2021-12-01T12:05:31.000+01:00,20211201_20211231,true,""
EHAM,LIML,4784,A319,2021-12-01T12:12:37.000+01:00,20211201_20211231,true,""
EHAM,EFHK,7086,E190,2021-12-01T12:14:02.000+01:00,20211201_20211231,true,""
EHAM,LIMC,4258,B737,2021-12-01T12:19:23.000+01:00,20211201_20211231,true,""
EHAM,EGPE,4784,E75L,2021-12-01T12:19:30.000+01:00,20211201_20211231,true,""
EHAM,EGLL,2848,A319,2021-12-01T12:25:30.000+01:00,20211201_20211231,true,""
EHAM,LROP,8263,A318,2021-12-01T12:26:43.000+01:00,20211201_20211231,true,""
EHAM,EPPO,4304,E75L,2021-12-01T12:27:33.000+01:00,20211201_20211231,true,""
EHAM,EIDW,4069,B738,2021-12-01T12:28:10.000+01:00,20211201_20211231,true,""
EHAM,ENBR,4697,E190,2021-12-01T12:29:00.000+01:00,20211201_20211231,true,""
EHAM,EDDM,3811,E75L,2021-12-01T12:33:40.000+01:00,20211201_20211231,true,""
EHAM,LIRF,6710,A320,2021-12-01T12:34:44.000+01:00,20211201_20211231,true,""
EHAM,LKPR,3814,B738,2021-12-01T12:42:38.000+01:00,20211201_20211231,true,""
EHAM,EKCH,3650,B738,2021-12-01T12:47:30.000+01:00,20211201_20211231,true,""
EHAM,EKBI,2515,E190,2021-12-01T12:49:33.000+01:00,20211201_20211231,true,""
EHEH,EIDW,4806,B738,2021-12-01T12:51:03.000+01:00,20211201_20211231,true,""
EHAM,LGAV,9499,B738,2021-12-01T12:54:09.000+01:00,20211201_20211231,true,""
EHAM,EGCC,3112,B737,2021-12-01T12:55:05.000+01:00,20211201_20211231,true,""
EHAM,EDDC,3235,E75L,2021-12-01T12:55:31.000+01:00,20211201_20211231,true,""
EHEH,LIME,4265,B738,2021-12-01T12:56:03.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2743,B737,2021-12-01T12:57:14.000+01:00,20211201_20211231,true,""
EHAM,LIRQ,5109,E190,2021-12-01T12:58:01.000+01:00,20211201_20211231,true,""
EHAM,LEMG,9420,B738,2021-12-01T12:59:35.000+01:00,20211201_20211231,true,""
EHAM,EDDF,2688,E75L,2021-12-01T13:04:49.000+01:00,20211201_20211231,true,""
EHEH,EPKT,4746,A320,2021-12-01T13:09:00.000+01:00,20211201_20211231,true,""
EHAM,BIKF,11149,B763,2021-12-01T13:20:01.000+01:00,20211201_20211231,true,""
EHAM,EDDH,2847,E75L,2021-12-01T13:24:01.000+01:00,20211201_20211231,true,""
EHAM,EGFF,4888,B738,2021-12-01T13:33:14.000+01:00,20211201_20211231,true,""
EHAM,EDDM,3987,CRJ9,2021-12-01T13:38:01.000+01:00,20211201_20211231,true,""
EHAM,ESSA,5648,B738,2021-12-01T13:44:20.000+01:00,20211201_20211231,true,""
EHEH,EPGD,4458,A320,2021-12-01T13:46:00.000+01:00,20211201_20211231,true,""
EHAM,LEMD,7329,B739,2021-12-01T13:46:36.000+01:00,20211201_20211231,true,""
EHAM,LPAR,8905,A319,2021-12-01T13:50:39.000+01:00,20211201_20211231,true,""
EHAM,EPWR,4336,E190,2021-12-01T13:55:41.000+01:00,20211201_20211231,true,""
EHEH,EPKK,4999,B738,2021-12-01T14:13:01.000+01:00,20211201_20211231,true,""
EHAM,EFHK,7259,E190,2021-12-01T14:16:30.000+01:00,20211201_20211231,true,""
EHEH,LEBL,6792,B738,2021-12-01T14:22:09.000+01:00,20211201_20211231,true,""
EHEH,LPPR,7982,B738,2021-12-01T14:30:42.000+01:00,20211201_20211231,true,""
EHAM,LEZG,6934,A332,2021-12-01T14:32:09.000+01:00,20211201_20211231,true,""
EHAM,LIRF,6265,B737,2021-12-01T14:34:43.000+01:00,20211201_20211231,true,""
EHAM,EPKK,5195,E75L,2021-12-01T14:36:02.000+01:00,20211201_20211231,true,""
EHAM,LOWW,4500,B738,2021-12-01T14:37:50.000+01:00,20211201_20211231,true,""
EHAM,LFML,5500,CRJX,2021-12-01T14:38:43.000+01:00,20211201_20211231,true,""
EHAM,ENGM,4907,B738,2021-12-01T14:41:31.000+01:00,20211201_20211231,true,""
EHAM,EIDW,4483,B738,2021-12-01T14:43:16.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2563,A319,2021-12-01T14:44:30.000+01:00,20211201_20211231,true,""
EHAM,LHBP,5471,B738,2021-12-01T14:45:47.000+01:00,20211201_20211231,true,""
EHAM,LEBL,6283,B738,2021-12-01T14:47:02.000+01:00,20211201_20211231,true,""
EHAM,LDZA,5558,E190,2021-12-01T14:52:19.000+01:00,20211201_20211231,true,""
EHAM,LIMC,4447,B737,2021-12-01T14:55:16.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2629,A319,2021-12-01T15:07:05.000+01:00,20211201_20211231,true,""
EHAM,LFFI,3752,E190,2021-12-01T15:08:06.000+01:00,20211201_20211231,true,""
EHAM,EDDF,3084,A320,2021-12-01T15:12:15.000+01:00,20211201_20211231,true,""
EHAM,ENUL,4434,B738,2021-12-01T15:14:54.000+01:00,20211201_20211231,true,""
EHEH,EGCC,3844,B738,2021-12-01T15:17:36.000+01:00,20211201_20211231,true,""
EHAM,LSZH,5675,BCS1,2021-12-01T15:18:35.000+01:00,20211201_20211231,true,""
EHAM,ESGG,3901,E190,2021-12-01T15:19:14.000+01:00,20211201_20211231,true,""
EHAM,ELLX,2578,B744,2021-12-01T15:20:19.000+01:00,20211201_20211231,true,""
EHAM,LSGG,3832,B738,2021-12-01T15:22:48.000+01:00,20211201_20211231,true,""
EHAM,LSZH,4307,B737,2021-12-01T15:26:12.000+01:00,20211201_20211231,true,""
EHAM,EDDB,3728,E190,2021-12-01T15:27:37.000+01:00,20211201_20211231,true,""
EHAM,EKCH,3363,B738,2021-12-01T15:28:42.000+01:00,20211201_20211231,true,""
EHAM,EDDM,3766,E190,2021-12-01T15:31:33.000+01:00,20211201_20211231,true,""
EHAM,EGLL,2484,A319,2021-12-01T15:36:34.000+01:00,20211201_20211231,true,""
EHAM,LIPZ,5304,E75L,2021-12-01T15:37:45.000+01:00,20211201_20211231,true,""
EHAM,LPAR,9020,A320,2021-12-01T15:39:07.000+01:00,20211201_20211231,true,""
EHAM,EGLL,2455,B737,2021-12-01T15:47:34.000+01:00,20211201_20211231,true,""
EHEH,EPKK,5050,A320,2021-12-01T15:51:48.000+01:00,20211201_20211231,true,""
EHAM,LFBD,4975,E190,2021-12-01T15:52:32.000+01:00,20211201_20211231,true,""
EHAM,EGPF,4474,B737,2021-12-01T16:07:25.000+01:00,20211201_20211231,true,""
EHEH,LEMG,9648,B738,2021-12-01T16:09:32.000+01:00,20211201_20211231,true,""
EHAM,EIDW,4609,E190,2021-12-01T16:14:48.000+01:00,20211201_20211231,true,""
EHAM,LFXA,4255,E75L,2021-12-01T16:16:00.000+01:00,20211201_20211231,true,""
EHAM,EGPD,4201,E190,2021-12-01T16:17:07.000+01:00,20211201_20211231,true,""
EHEH,EYVI,6353,B738,2021-12-01T16:18:47.000+01:00,20211201_20211231,true,""
EHAM,EKBI,6855,E190,2021-12-01T16:24:42.000+01:00,20211201_20211231,true,""
EHAM,EGCC,3957,E190,2021-12-01T16:37:30.000+01:00,20211201_20211231,true,""
EHEH,EGSS,2642,B738,2021-12-01T16:37:36.000+01:00,20211201_20211231,true,""
EHAM,LKPR,3832,B738,2021-12-01T16:49:30.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2711,B737,2021-12-01T16:59:11.000+01:00,20211201_20211231,true,""
EHAM,LEAL,8195,B738,2021-12-01T17:01:54.000+01:00,20211201_20211231,true,""
EHAM,EGGD,3126,E190,2021-12-01T17:03:41.000+01:00,20211201_20211231,true,""
EHAM,EGNM,2842,E75L,2021-12-01T17:04:20.000+01:00,20211201_20211231,true,""
EHAM,EGAC,4168,E190,2021-12-01T17:07:43.000+01:00,20211201_20211231,true,""
EHAM,ELLX,2495,E75L,2021-12-01T17:12:03.000+01:00,20211201_20211231,true,""
EHAM,EDDH,2487,B738,2021-12-01T17:27:30.000+01:00,20211201_20211231,true,""
EHAM,LSGG,4152,E75L,2021-12-01T17:31:05.000+01:00,20211201_20211231,true,""
EHAM,LEMD,7396,B737,2021-12-01T17:34:40.000+01:00,20211201_20211231,true,""
EHAM,EKCH,3308,B737,2021-12-01T17:46:13.000+01:00,20211201_20211231,true,""
EHAM,EDDV,2579,E75L,2021-12-01T17:49:30.000+01:00,20211201_20211231,true,""
EHAM,EDDM,3738,E75L,2021-12-01T18:02:39.000+01:00,20211201_20211231,true,""
EHAM,EGBB,2998,E75L,2021-12-01T18:04:01.000+01:00,20211201_20211231,true,""
EHAM,EDDL,1575,E75L,2021-12-01T18:15:34.000+01:00,20211201_20211231,true,""
EHAM,EBBR,1407,E190,2021-12-01T18:19:30.000+01:00,20211201_20211231,true,""
EHAM,EIDW,4131,A320,2021-12-01T18:21:17.000+01:00,20211201_20211231,true,""
EHAM,LIRF,7693,A320,2021-12-01T18:28:44.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2613,B738,2021-12-01T18:30:16.000+01:00,20211201_20211231,true,""
EHAM,EDDF,2972,B77L,2021-12-01T18:33:05.000+01:00,20211201_20211231,true,""
EHAM,EGLC,2575,E190,2021-12-01T18:41:30.000+01:00,20211201_20211231,true,""
EHAM,EGLL,2639,B737,2021-12-01T19:03:00.000+01:00,20211201_20211231,true,""
EHAM,LFPO,3254,B738,2021-12-01T19:06:15.000+01:00,20211201_20211231,true,""
EHAM,EDDM,3888,CRJ9,2021-12-01T19:10:02.000+01:00,20211201_20211231,true,""
EHAM,LEMG,9418,B738,2021-12-01T19:24:31.000+01:00,20211201_20211231,true,""
EHAM,LFPG,2689,A319,2021-12-01T19:31:00.000+01:00,20211201_20211231,true,""
EHAM,LEMD,7404,B738,2021-12-01T19:33:10.000+01:00,20211201_20211231,true,""
EHAM,EDDF,2672,CRJ9,2021-12-01T19:37:32.000+01:00,20211201_20211231,true,""
EHEH,EGSS,3192,B738,2021-12-01T19:42:33.000+01:00,20211201_20211231,true,""
EHAM,ENGM,5006,A20N,2021-12-01T19:44:10.000+01:00,20211201_20211231,true,""
EHAM,EDDS,3294,A319,2021-12-01T19:45:12.000+01:00,20211201_20211231,true,""
