AC Type,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
D328,2021,-460.0,-609.3333333333334,-1069.3333333333333,6015.666666666667,4946.333333333333
B738,2021,172.7845945945946,272.2966666666667,445.08126126126126,7343.371081081081,7788.4523423423425
B789,2021,80.85714285714286,49.26190476190476,130.11904761904762,5875.857142857143,6005.976190476191
E190,2020,-32.3531394111387,173.85331677899964,141.50017736786094,4648.3229868747785,4789.823164242639
B744,2021,-49.58169934640523,327.96078431372547,278.37908496732024,3684.9346405228757,3963.3137254901962
CRJ9,2021,120.98776758409785,50.08562691131498,171.07339449541286,4824.584097859327,4995.6574923547405
DH8D,2020,11.457831325301205,-72.81927710843374,-61.36144578313253,5809.3975903614455,5748.036144578313
CRJ2,2021,-37.5,602.4375,564.9375,5169.75,5734.6875
B752,2020,-328.06060606060606,-113.10606060606061,-441.1666666666667,4443.212121212121,4002.0454545454545
B78X,2021,1277.0,1135.0,2412.0,3573.0,5985.0
A339,2021,690.0,878.8333333333334,1568.8333333333333,8601.666666666666,10170.5
B753,2021,-17.5,571.0,553.5,10801.0,11354.5
CRJ7,2020,55.45454545454545,145.4848484848485,200.93939393939394,4588.212121212121,4789.151515151515
B748,2021,192.3231707317073,239.21341463414635,431.5365853658537,5726.658536585366,6158.195121951219
A20N,2021,281.5956678700361,438.8676293622142,720.4632972322503,6928.94825511432,7649.411552346571
B734,2020,-319.95238095238096,-339.1904761904762,-659.1428571428571,3549.1190476190477,2889.9761904761904
A321,2020,0.6502732240437158,135.56466302367943,136.21493624772313,5776.653916211293,5912.868852459016
E75L,2020,-154.99714285714285,19.615064935064936,-135.3820779220779,4147.815584415584,4012.4335064935067
AT75,2020,304.82608695652175,-398.30434782608694,-93.47826086956522,7237.521739130435,7144.04347826087
B77L,2020,-427.144,133.32,-293.824,5124.384,4830.56
AT72,2020,-798.5977011494252,-1595.8620689655172,-2394.4597701149423,6309.252873563219,3914.793103448276
A320,2020,-89.20692307692308,-40.56346153846154,-129.77038461538461,5830.373846153846,5700.6034615384615
BCS3,2020,-103.63716814159292,269.7020648967552,166.06489675516224,6798.581120943953,6964.646017699115
JS32,2020,340.0,267.0,607.0,2575.0,3182.0
SW4,2021,-125.36363636363636,-867.4545454545455,-992.8181818181819,6810.090909090909,5817.272727272727
MD83,2021,-1080.0,-284.0,-1364.0,3804.0,2440.0
A306,2020,44.42857142857143,192.15873015873015,236.5873015873016,4470.142857142857,4706.730158730159
SF34,2020,135.0,56.833333333333336,191.83333333333334,8047.5,8239.333333333334
E195,2020,46.42,384.14666666666665,430.56666666666666,5531.093333333333,5961.66
B789,2020,110.28260869565217,42.23913043478261,152.52173913043478,6365.630434782609,6518.152173913043
D328,2020,420.0,342.0,762.0,4430.5,5192.5
AT75,2021,-115.0,-226.75,-341.75,5192.75,4851.0
B77L,2021,-79.10909090909091,-36.36969696969697,-115.47878787878788,5474.387878787878,5358.909090909091
E290,2020,163.76470588235293,179.35294117647058,343.11764705882354,4315.058823529412,4658.176470588235
A21N,2020,-75.40131578947368,-177.73026315789474,-253.1315789473684,6074.105263157895,5820.973684210527
CRJX,2021,304.16727272727275,479.6218181818182,783.7890909090909,5555.250909090909,6339.04
B752,2021,30.808139534883722,352.6686046511628,383.4767441860465,4180.290697674419,4563.767441860465
B739,2020,74.23548387096774,147.8258064516129,222.06129032258065,5823.058064516129,6045.11935483871
B788,2021,236.33802816901408,654.0704225352113,890.4084507042254,4855.225352112676,5745.633802816901
A318,2020,71.26506024096386,-100.51807228915662,-29.253012048192772,5946.77108433735,5917.518072289156
B738,2020,-0.2799662352279122,31.630979178390547,31.351012943162633,6998.4741136747325,7029.825126617895
SF34,2021,-162.83333333333334,-616.3333333333334,-779.1666666666666,6691.666666666667,5912.5
E170,2020,-137.6219512195122,15.621951219512194,-122.0,4281.012195121952,4159.012195121952
B38M,2021,274.7804232804233,415.15608465608466,689.936507936508,8408.661375661375,9098.597883597884
E170,2021,-100.3,-119.11666666666666,-219.41666666666666,6409.133333333333,6189.716666666666
B788,2020,-40.36585365853659,209.4878048780488,169.1219512195122,4734.8536585365855,4903.975609756098
A321,2021,331.32397959183675,336.734693877551,668.0586734693877,6957.785714285715,7625.844387755102
A343,2021,1001.0,933.9142857142857,1934.9142857142858,3121.542857142857,5056.457142857143
DH8A,2020,660.0,169.0,829.0,11722.0,12551.0
B737,2021,16.47557765428488,136.28985083357708,152.76542848786195,6025.988300672711,6178.753729160573
B748,2020,173.208,196.448,369.656,5412.44,5782.096
B77W,2021,-220.53333333333333,-140.65,-361.18333333333334,5764.916666666667,5403.733333333334
AT76,2020,-833.5,-1057.75,-1891.25,4764.5,2873.25
AT72,2021,-1067.5632183908046,-1635.3908045977012,-2702.9540229885056,6192.586206896552,3489.632183908046
A21N,2021,258.0,87.40167364016736,345.40167364016736,7589.426778242678,7934.828451882845
A320,2021,185.36680911680912,206.24643874643874,391.61324786324786,6427.395299145299,6819.008547008547
B39M,2021,450.0,620.5,1070.5,11106.0,12176.5
E75L,2021,-7.2266412940057085,125.45214081826832,118.2254995242626,4744.044338725023,4862.269838249286
E75S,2021,-70.4375,60.49375,-9.94375,6174.4125,6164.46875
E135,2020,323.2142857142857,440.92857142857144,764.1428571428571,5032.928571428572,5797.071428571428
E290,2021,341.0769230769231,872.5384615384615,1213.6153846153845,4164.423076923077,5378.038461538462
E145,2021,122.11111111111111,641.6666666666666,763.7777777777778,3588.5555555555557,4352.333333333333
B733,2020,220.3548387096774,133.19354838709677,353.5483870967742,6506.774193548387,6860.322580645161
E195,2021,234.76447876447875,453.86486486486484,688.6293436293437,6075.926640926641,6764.555984555985
CRJ2,2020,-624.6923076923077,-546.3846153846154,-1171.076923076923,5440.923076923077,4269.846153846154
A333,2021,433.25252525252523,352.8686868686869,786.1212121212121,4738.363636363636,5524.484848484848
E145,2020,213.34545454545454,252.0,465.3454545454546,3950.581818181818,4415.927272727273
B733,2021,171.58823529411765,-0.7647058823529411,170.8235294117647,7162.176470588235,7333.0
CRJ9,2020,-58.3716814159292,21.23008849557522,-37.14159292035398,4049.424778761062,4012.283185840708
E135,2021,-306.3333333333333,-284.3333333333333,-590.6666666666666,4043.6666666666665,3453.0
DH8D,2021,229.93333333333334,-14.866666666666667,215.06666666666666,7834.2,8049.266666666666
B737,2020,-91.23083356565375,47.217730694173405,-44.01310287148035,5688.4825759687765,5644.469473097296
J328,2020,-388.6,-629.5,-1018.1,4144.9,3126.8
