AC Type,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
A321,2019,795.9669021941243,731.5239866121235,1527.4908888062478,6144.957233172183,7672.44812197843
AN26,2016,-360.0,-308.0,-668.0,4318.0,3650.0
CRJX,2019,83.76923076923077,54.53846153846154,138.30769230769232,5030.538461538462,5168.846153846154
CRJ7,2018,183.98737373737373,27.318181818181817,211.30555555555554,4448.078282828283,4659.383838383838
DH8C,2019,960.0,298.0,1258.0,10628.0,11886.0
AT75,2019,-33.32,-250.44,-283.76,6677.56,6393.8
RJ85,2016,311.2925292529253,569.1881188118812,880.4806480648065,3268.168316831683,4148.64896489649
SH36,2016,360.0,-19.666666666666668,340.3333333333333,7288.333333333333,7628.666666666667
B735,2015,207.64150943396226,205.75,413.39150943396226,5683.193396226415,6096.584905660377
A318,2019,927.6137931034483,343.4689655172414,1271.0827586206897,5900.475862068965,7171.558620689655
CRJX,2018,551.140625,550.6484375,1101.7890625,4606.3828125,5708.171875
E120,2015,-701.9714285714285,-559.6428571428571,-1261.6142857142856,4123.828571428571,2862.214285714286
SF34,2016,433.7142857142857,764.8571428571429,1198.5714285714287,6275.285714285715,7473.857142857143
B734,2019,1017.4411764705883,328.3627450980392,1345.8039215686274,6332.235294117647,7678.0392156862745
F50,2015,3.041942604856512,-49.0551876379691,-46.01324503311258,4252.569536423841,4206.556291390729
CRJ2,2015,-101.05263157894737,92.47368421052632,-8.578947368421053,5107.684210526316,5099.105263157895
B737,2018,284.75382932166303,291.9707026501337,576.7245319717968,5779.749452954048,6356.473984925845
B733,2018,673.8290322580646,653.4096774193548,1327.2387096774194,6704.122580645161,8031.36129032258
SB20,2016,147.0,614.3333333333334,761.3333333333334,3698.6666666666665,4460.0
A20N,2019,759.0075125208681,691.5150250417362,1450.5225375626044,5032.032554257095,6482.5550918197
D328,2018,184.41666666666666,41.5,225.91666666666666,3290.4166666666665,3516.3333333333335
CRJX,2016,560.9302325581396,809.0,1369.9302325581396,4938.883720930233,6308.813953488372
B738,2016,382.1059658407505,361.04967524657206,743.1556410873226,7008.674765455858,7751.83040654318
B736,2015,-4.8,-33.56842105263158,-38.36842105263158,6508.515789473684,6470.147368421052
E145,2016,119.6927453769559,302.1977240398293,421.8904694167852,4425.8421052631575,4847.732574679943
DH8B,2019,-30.0,-1226.5,-1256.5,13578.0,12321.5
B753,2015,1096.111111111111,810.3333333333334,1906.4444444444443,9539.777777777777,11446.222222222223
A320,2016,479.34887369718706,482.03317269976463,961.3820463969518,5762.24913145803,6723.631177854982
B739,2016,292.1301316808675,401.0658404337723,693.1959721146399,5814.970565453137,6508.166537567777
A310,2018,-221.75,26.875,-194.875,4170.875,3976.0
BCS1,2018,1913.0,1856.5,3769.5,4574.0,8343.5
B733,2015,278.46849315068494,175.81917808219177,454.28767123287673,6148.293150684932,6602.580821917808
BCS3,2019,314.680790960452,578.5847457627119,893.2655367231638,7328.310734463277,8221.57627118644
SW4,2016,22.171717171717173,-177.82828282828282,-155.65656565656565,4248.060606060606,4092.40404040404
E190,2015,163.1860751694393,221.30076577766042,384.4868409470997,4790.574509286154,5175.061350233254
B735,2018,675.8540145985402,718.4525547445255,1394.3065693430658,7611.321167883211,9005.627737226278
A310,2019,-240.0,-287.0,-527.0,2066.0,1539.0
AT76,2016,-388.5245901639344,-687.327868852459,-1075.8524590163934,4833.622950819672,3757.7704918032787
CRJ2,2019,-275.89285714285717,-0.9285714285714286,-276.82142857142856,4937.714285714285,4660.892857142857
E195,2018,646.5929203539823,310.0132743362832,956.6061946902655,5572.619469026548,6529.225663716814
B712,2015,276.0,384.7,660.7,6289.6,6950.3
E170,2019,287.52941176470586,611.4498269896194,898.9792387543253,3202.1903114186853,4101.16955017301
A319,2015,259.0366375302213,260.17277292170354,519.2094104519249,4921.962990515157,5441.1724009670825
B748,2015,389.30872483221475,544.4295302013422,933.738255033557,3889.510067114094,4823.248322147651
B748,2019,519.762962962963,549.7111111111111,1069.474074074074,5193.555555555556,6263.029629629629
B38M,2018,863.4255319148937,472.4255319148936,1335.8510638297873,7058.914893617021,8394.765957446809
A320,2019,688.8826867400115,586.237637521714,1275.1203242617255,5883.520787492762,7158.641111754488
B739,2015,261.01579384871155,391.5876974231089,652.6034912718204,5425.025768911056,6077.629260182876
CRJ7,2015,279.55357142857144,402.83214285714286,682.3857142857142,5155.7,5838.085714285714
E135,2019,238.6,506.43333333333334,745.0333333333333,4014.2,4759.233333333334
SB20,2018,402.7317073170732,315.0975609756098,717.829268292683,4966.121951219512,5683.951219512195
F100,2018,722.1953405017921,581.4283154121864,1303.6236559139784,4482.897849462365,5786.521505376344
J328,2015,-439.53333333333336,-516.2666666666667,-955.8,4095.3333333333335,3139.5333333333333
B737,2019,318.6863742010459,366.9487216734457,685.6350958744915,5753.2683033120275,6438.90339918652
A333,2016,1136.1379310344828,1119.9310344827586,2256.0689655172414,10193.448275862069,12449.51724137931
B753,2016,353.3333333333333,87.77777777777777,441.1111111111111,9397.777777777777,9838.888888888889
B733,2019,836.6646884272997,669.9940652818991,1506.658753709199,7199.578635014836,8706.237388724036
E75S,2019,477.578125,470.88194444444446,948.4600694444445,4294.032986111111,5242.493055555556
A310,2016,597.7647058823529,275.97058823529414,873.7352941176471,8942.176470588236,9815.911764705883
A319,2018,536.7418759231905,447.7974519940916,984.5393279172821,5163.742614475628,6148.2819423929095
B744,2018,590.5480769230769,612.4038461538462,1202.951923076923,4527.879807692308,5730.8317307692305
B736,2019,820.1428571428571,585.3333333333334,1405.4761904761904,6790.9047619047615,8196.380952380952
A333,2018,1011.7777777777778,498.0740740740741,1509.851851851852,10664.518518518518,12174.37037037037
A332,2016,625.1538461538462,719.3076923076923,1344.4615384615386,7461.134615384615,8805.596153846154
B763,2018,727.3782608695652,556.1695652173913,1283.5478260869565,7948.195652173913,9231.743478260869
B763,2019,768.1068376068376,325.3931623931624,1093.5,10226.623931623932,11320.123931623932
AT76,2019,-504.69950738916253,-778.6995073891626,-1283.3990147783252,4900.098522167487,3616.6995073891626
RJ1H,2015,828.2142857142857,1007.4642857142857,1835.6785714285713,4804.535714285715,6640.214285714285
A343,2015,330.0,446.5,776.5,4062.0,4838.5
E75L,2019,273.1034278959811,326.0144799054373,599.1179078014185,4168.502511820331,4767.6204196217495
B462,2019,429.7142857142857,318.42857142857144,748.1428571428571,5089.142857142857,5837.285714285715
