ADEP,year,avg_delay_departure,avg_delay_destination,avg_total_delay
EHEH,2021,137.86402180496668,62.14839491217444,200.01241671714112
EHGG,2021,-112.36363636363636,-385.95454545454544,-498.3181818181818
EHGG,2020,-510.05263157894734,-757.3684210526316,-1267.421052631579
EHEH,2020,-190.07208333333332,-332.48375,-522.5558333333333
EHBK,2021,-316.0291777188329,-587.6870026525199,-903.7161803713528
EHTW,2020,-1500.0,-1967.0,-3467.0
EHAM,2021,123.19337973798596,266.2207665886501,389.41414632663606
EHRD,2020,-124.58699472759227,-175.17574692442884,-299.7627416520211
EHAM,2020,-38.007268250059575,115.31305107633648,77.30578282627691
EHTW,2021,227.5,-75.25,152.25
EHBK,2020,-353.17064846416383,-705.6518771331058,-1058.8225255972695
EHRD,2021,6.339955849889625,-41.716335540838855,-35.37637969094923
EHLE,2020,495.0,62.75,557.75
