ADEP,year,avg_delay_departure,avg_delay_destination,avg_total_delay
EHRD,2015,-14.278869355394692,-20.136504653567734,-34.415374008962424
EHEH,2019,421.00119965724076,316.31088260497,737.3120822622108
EHKD,2015,-378.72727272727275,-398.1818181818182,-776.9090909090909
EHRD,2019,241.134498171475,207.5855343356359,448.72003250711094
EHBK,2019,358.2318548387097,147.0241935483871,505.25604838709677
EHKD,2016,-321.27272727272725,-321.3636363636364,-642.6363636363636
EHGG,2019,-277.304854368932,-338.47378640776697,-615.778640776699
EHBK,2015,42.69146005509642,-90.69146005509641,-48.0
EHRD,2018,249.7199835526316,201.23190789473685,450.95189144736844
EHGG,2015,-564.9627329192547,-685.1614906832298,-1250.1242236024846
EHRD,2016,138.73312672176309,121.15840220385675,259.8915289256198
EHBK,2016,187.77611940298507,33.55223880597015,221.32835820895522
EHLE,2018,-65.23529411764706,65.17647058823529,-0.058823529411764705
EHAM,2016,328.39400206825235,345.73340884095796,674.1274109092103
EHKD,2018,-82.28571428571429,-383.14285714285717,-465.42857142857144
EHLE,2019,271.15,229.55,500.7
EHAM,2018,466.68646885389876,408.7632049432282,875.4496737971269
EHAM,2015,211.9131644766971,238.68800859548384,450.6011730721809
EHGG,2018,-177.36706948640483,-398.7416918429003,-576.1087613293051
EHBK,2018,204.14173228346456,-132.8740157480315,71.26771653543307
EHEH,2018,466.9659728506787,388.08579185520364,855.0517647058823
EHAM,2019,498.0085145751337,524.917990372101,1022.9265049472348
EHLE,2016,399.1818181818182,198.36363636363637,597.5454545454545
EHEH,2015,202.25800464037124,94.192343387471,296.4503480278422
EHKD,2019,-780.0,-1066.0,-1846.0
EHGG,2016,-508.5679758308157,-699.5166163141994,-1208.084592145015
EHLE,2015,30.470588235294116,-272.2352941176471,-241.76470588235293
EHEH,2016,329.8177430475753,229.8800275798667,559.697770627442
EHKD,2017,-345.0,-303.125,-648.125
EHBK,2017,199.4188034188034,-105.83190883190883,93.58689458689459
EHEH,2017,339.78973880597016,236.57276119402985,576.3625
EHGG,2017,-286.41052631578947,-496.2863157894737,-782.6968421052632
EHLE,2017,26.61111111111111,-250.72222222222223,-224.11111111111111
EHAM,2017,367.26949689035933,366.6374206683739,733.9069175587332
EHRD,2017,74.36024305555556,59.724826388888886,134.08506944444446
