ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay
LKPR,2016,170.0009881422925,88.9199604743083,258.9209486166008
LEAL,2015,284.78033794162826,360.34254992319507,645.1228878648234
EKYT,2015,98.2770083102493,273.8808864265928,372.1578947368421
EKCH,2019,345.29733009708735,318.57342233009706,663.8707524271845
EYKA,2018,280.44444444444446,410.30555555555554,690.75
LOWW,2016,352.1392949269132,537.7876182287189,889.926913155632
LGMK,2016,645.0,744.625,1389.625
LEAM,2016,-129.23076923076923,-511.61538461538464,-640.8461538461538
EFRO,2015,-31.625,853.25,821.625
EKYT,2019,203.58878504672896,447.9696261682243,651.5584112149533
LEIB,2019,608.4940374787053,243.81431005110733,852.3083475298126
LHDC,2019,531.3529411764706,380.3137254901961,911.6666666666666
LEMD,2016,542.6260720411664,678.7221269296741,1221.3481989708405
LGZA,2015,67.29729729729729,-91.62162162162163,-24.324324324324323
LIME,2018,588.5867768595041,787.702479338843,1376.2892561983472
ESSA,2015,240.545551982851,317.5048231511254,558.0503751339764
LICC,2015,317.84705882352944,147.36470588235295,465.21176470588233
LATI,2015,-600.0,-826.0,-1426.0
EGNV,2019,204.34782608695653,192.73244147157192,397.0802675585284
EDDB,2016,122.20086393088553,-36.56803455723542,85.63282937365011
LFBO,2015,254.0353200883002,189.28256070640177,443.317880794702
LIRQ,2018,608.9090909090909,712.1038961038961,1321.012987012987
LDSP,2016,253.6027397260274,223.75342465753425,477.35616438356163
EGKK,2015,318.88585209003213,225.09967845659165,543.9855305466237
LPFR,2018,391.5099846390169,172.91705069124424,564.4270353302611
LMML,2016,371.61842105263156,322.13157894736844,693.75
LEMD,2015,312.950487012987,492.95211038961037,805.9025974025974
EDDK,2015,-38.34323432343234,-408.8151815181518,-447.15841584158414
EGMC,2015,39.04851752021563,145.43396226415095,184.48247978436657
LPPD,2015,-78.0,-184.3,-262.3
LPMA,2018,340.7294117647059,355.67058823529413,696.4
LDDU,2018,629.0153846153846,534.3384615384615,1163.3538461538462
LFMN,2015,147.93393782383419,-276.8730569948186,-128.93911917098447
ENCN,2015,107.06040268456375,211.0234899328859,318.0838926174497
LICJ,2015,-146.6,-175.9,-322.5
EBLG,2016,298.4375,202.6875,501.125
EGNM,2015,186.88865979381444,217.82886597938145,404.71752577319586
EHRD,2015,-253.76923076923077,-480.7435897435897,-734.5128205128206
LHDC,2018,482.47727272727275,368.25,850.7272727272727
EGLC,2016,259.1422982885086,481.31002444987774,740.4523227383863
LFSB,2016,212.38514442916093,-87.92022008253095,124.46492434662999
EGLL,2015,330.0503198294243,1010.0422174840086,1340.0925373134328
EGFF,2015,11.527536231884058,187.6550724637681,199.18260869565216
EDDB,2018,376.44412607449857,103.82521489971347,480.269340974212
EGJB,2016,132.0,-211.4,-79.4
EGKB,2016,-300.0,109.0,-191.0
LFMT,2019,456.78350515463916,207.31958762886597,664.1030927835052
EPPO,2019,109.20833333333333,-94.0625,15.145833333333334
LIRF,2016,355.0145878920496,396.5448577680525,751.5594456601021
LDDU,2016,259.81632653061223,93.6734693877551,353.48979591836735
EPGD,2019,248.0662251655629,143.00441501103754,391.0706401766004
EPLB,2019,249.47222222222223,451.25,700.7222222222222
EHEH,2019,1335.3666666666666,1140.2333333333333,2475.6
ESNZ,2018,0.0,755.0,755.0
EDDS,2015,200.61990212071777,-20.765089722675366,179.8548123980424
LEBB,2019,456.0550724637681,455.3333333333333,911.3884057971014
EGSS,2018,376.3356070941337,526.0804911323329,902.4160982264666
EKSB,2015,-420.0,-1282.0,-1702.0
LIBP,2015,300.0,2513.0,2813.0
EGFF,2018,209.6697247706422,392.38837920489294,602.0581039755351
LQTZ,2018,1045.7,1061.275,2106.975
LFCR,2018,1140.0,1394.0,2534.0
LOWI,2016,55.933609958506224,-6.485477178423237,49.448132780082986
LKTB,2016,14.852941176470589,-146.85294117647058,-132.0
EDDL,2015,213.83191850594227,283.86247877758916,497.69439728353143
LGKC,2015,-356.3333333333333,-650.4444444444445,-1006.7777777777778
LIMF,2018,396.7551020408163,566.9795918367347,963.734693877551
LGSK,2015,35.294117647058826,-14.176470588235293,21.11764705882353
LFMU,2015,420.0,630.0,1050.0
ENDU,2015,1140.0,-174.0,966.0
EBLG,2018,340.741935483871,548.5806451612904,889.3225806451613
LGIR,2016,347.0836653386454,35.92430278884462,383.00796812749
LIBD,2016,369.5625,335.775,705.3375
LIMJ,2018,363.4836065573771,250.37704918032787,613.860655737705
LGSA,2018,645.6901408450705,522.9577464788732,1168.6478873239437
EPLL,2016,-22.029411764705884,-124.73529411764706,-146.76470588235293
EBBR,2015,139.77355371900828,323.3305785123967,463.10413223140495
LFPB,2015,-180.0,-9.0,-189.0
LROP,2019,846.5390749601276,355.0430622009569,1201.5821371610846
LEIB,2018,625.5266558966074,269.4038772213247,894.9305331179321
EDDL,2019,419.44821731748726,475.1018675721562,894.5500848896435
EGGW,2019,601.664570230608,731.559748427673,1333.224318658281
LBWN,2019,782.5555555555555,570.1555555555556,1352.7111111111112
LOWG,2018,393.2260869565217,307.7304347826087,700.9565217391304
ENTO,2018,273.10460251046027,73.0460251046025,346.1506276150628
LIRP,2018,748.4604316546763,726.1330935251799,1474.5935251798562
LFLB,2018,956.5,745.0,1701.5
EGNX,2016,-60.790055248618785,-174.02209944751382,-234.8121546961326
EGGP,2015,72.6710875331565,-423.81167108753317,-351.14058355437663
EBAW,2015,-167.07142857142858,2.2142857142857144,-164.85714285714286
LEVX,2015,-60.0,1658.0,1598.0
LBSF,2019,902.3848684210526,599.7894736842105,1502.1743421052631
LIPE,2019,424.77365491651204,329.2170686456401,753.9907235621521
EHRD,2019,323.4583333333333,189.91666666666666,513.375
LERS,2018,422.5064935064935,247.88311688311688,670.3896103896104
LIBR,2018,1130.275,1074.475,2204.75
LDZA,2018,904.8034188034188,685.2820512820513,1590.08547008547
LWSK,2018,828.2075471698113,332.50943396226415,1160.7169811320755
EGNV,2018,141.72013651877134,25.170648464163822,166.89078498293514
ESSA,2016,310.2566735112936,390.24845995893224,700.5051334702259
EGPN,2016,428.1458333333333,-525.1875,-97.04166666666667
LEBL,2015,322.4026548672566,410.65233881163084,733.0549936788875
EYKA,2019,-20.228571428571428,103.74285714285715,83.51428571428572
EKSB,2019,100.0,21.0,121.0
LFPG,2018,482.71986531986533,426.3097643097643,909.0296296296297
LIBR,2016,380.1212121212121,257.6969696969697,637.8181818181819
ESGG,2015,110.50092764378479,189.76252319109463,300.2634508348794
EETN,2016,194.31120331950208,-9.04564315352697,185.2655601659751
EDDP,2016,107.34375,-202.671875,-95.328125
LEST,2015,671.9090909090909,710.5454545454545,1382.4545454545455
LEVC,2018,375.8211267605634,218.8549295774648,594.6760563380282
LEZL,2018,302.54918032786884,361.19262295081967,663.7418032786885
LIRN,2018,523.2491228070176,441.1578947368421,964.4070175438596
EFIV,2018,-336.0,-252.0,-588.0
LWOH,2015,27.169811320754718,210.75471698113208,237.9245283018868
ENBR,2019,374.0389344262295,466.3893442622951,840.4282786885246
LFML,2019,567.6641791044776,596.2910447761194,1163.955223880597
EETN,2019,517.6612903225806,564.1048387096774,1081.766129032258
EGTE,2019,542.3076923076923,304.8639053254438,847.1715976331361
LOWI,2018,184.921875,197.9140625,382.8359375
LICC,2016,310.63194444444446,221.33333333333334,531.9652777777778
EGNJ,2016,41.67448680351906,498.42228739002934,540.0967741935484
LKPD,2016,120.0,850.5,970.5
EDFH,2019,-662.0,-162.66666666666666,-824.6666666666666
ETNN,2018,-240.0,-3273.0,-3513.0
ENZV,2016,109.59285714285714,5.7785714285714285,115.37142857142857
EGKB,2015,-340.0,-71.0,-411.0
LFLL,2019,333.3333333333333,339.5307855626327,672.864118895966
ESGG,2019,204.70257234726688,325.10610932475885,529.8086816720257
LFRS,2018,411.6041666666667,479.8541666666667,891.4583333333334
LEZL,2016,445.0693641618497,441.0578034682081,886.1271676300578
LIEE,2015,0.0,-77.5,-77.5
LOWS,2019,150.71808510638297,-164.12765957446808,-13.409574468085106
EPKK,2019,318.4464882943144,315.66722408026754,634.113712374582
EGPD,2016,99.15412186379929,152.6469534050179,251.80107526881721
ELLX,2016,226.41030195381882,316.101243339254,542.5115452930728
LIPE,2016,305.7182741116751,370.497461928934,676.2157360406092
LOWW,2015,254.16240157480314,494.2057086614173,748.3681102362204
LFKJ,2015,349.4117647058824,244.0,593.4117647058823
LSZB,2015,-330.5238095238095,-999.1587301587301,-1329.6825396825398
LFRK,2015,720.0,431.0,1151.0
EGLC,2019,275.5628442663996,500.76715072608914,776.3299949924888
LSZH,2015,492.8758445945946,774.3175675675676,1267.193412162162
LGHI,2015,-293.70588235294116,-395.88235294117646,-689.5882352941177
ENEV,2019,1170.3333333333333,1536.6666666666667,2707.0
LSGS,2019,-246.33333333333334,-73.0,-319.3333333333333
EGNM,2018,267.8590909090909,376.8818181818182,644.7409090909091
LFML,2016,552.4741573033708,188.5932584269663,741.0674157303371
BIKF,2016,713.0391459074733,489.37010676156586,1202.4092526690392
LFRS,2015,182.90123456790124,422.64814814814815,605.5493827160494
BIKF,2015,433.89302325581394,90.3906976744186,524.2837209302326
EGNT,2016,57.850828729281766,230.46777163904235,288.3186003683241
ENZV,2015,11.059726962457338,-98.78668941979522,-87.72696245733789
LIPH,2015,38.15686274509804,-208.4313725490196,-170.27450980392157
EDDF,2016,282.51316677920323,231.72653612424037,514.2397029034436
LELC,2016,643.7391304347826,83.3913043478261,727.1304347826087
LRCL,2019,843.9607843137255,798.9803921568628,1642.9411764705883
EHBK,2019,51.42857142857143,373.42857142857144,424.85714285714283
LPPT,2018,1029.5515840779854,970.7327376116978,2000.284321689683
EDLP,2018,69.5,303.0,372.5
EBBR,2016,209.4570928196147,344.0,553.4570928196147
LIEA,2016,335.9,43.05,378.95
LKPR,2019,518.7560073937153,373.5147874306839,892.2707948243992
EGPD,2019,215.1943396226415,341.1962264150943,556.3905660377359
LGMT,2016,151.76470588235293,-158.64705882352942,-6.882352941176471
EPWA,2015,262.5130548302872,62.03655352480418,324.5496083550914
LIRA,2015,475.6666666666667,296.35897435897436,772.025641025641
LDSP,2019,752.8272727272728,765.6363636363636,1518.4636363636364
EKYT,2018,190.83296213808464,361.62583518930956,552.4587973273942
LPPD,2016,270.0,-97.75,172.25
LFMT,2018,460.38582677165357,158.44094488188978,618.8267716535433
EDLP,2015,1080.0,1554.0,2634.0
EGNJ,2019,215.69158878504672,774.7102803738318,990.4018691588785
LJLJ,2016,541.6630434782609,701.1195652173913,1242.7826086956522
EINN,2015,-247.0,445.8,198.8
LFST,2019,698.5386996904025,573.2229102167182,1271.7616099071208
LIPZ,2019,648.7259713701432,391.11247443762784,1039.838445807771
EDDV,2016,68.52421052631578,-271.52210526315787,-202.9978947368421
EDDH,2015,108.60528992878942,84.66022380467955,193.26551373346896
LIRP,2015,315.1931330472103,460.8068669527897,776.0
EDBC,2015,-240.0,-238.0,-478.0
EHGG,2019,22.34090909090909,-85.70454545454545,-63.36363636363637
EPGD,2018,245.26256983240222,27.139664804469273,272.4022346368715
LFML,2015,337.54106280193236,-46.20531400966183,291.3357487922705
EYVI,2018,536.4402173913044,694.3858695652174,1230.8260869565217
LSGG,2018,461.06021717670285,177.27541954590325,638.3356367226061
LEGE,2016,419.74725274725273,323.6098901098901,743.3571428571429
EDFH,2016,73.66666666666667,18.333333333333332,92.0
LIBR,2015,149.57142857142858,5.880952380952381,155.45238095238096
EGMC,2018,-42.76470588235294,-191.94117647058823,-234.7058823529412
LDSP,2018,566.7678571428571,461.0625,1027.830357142857
LEPA,2016,467.26,422.53555555555556,889.7955555555556
LFBD,2016,379.488326848249,464.284046692607,843.772373540856
LPLA,2016,-16.363636363636363,-2594.7272727272725,-2611.090909090909
LJLJ,2015,374.4259259259259,673.0,1047.4259259259259
LIEO,2018,742.6822429906542,-298.8785046728972,443.803738317757
EDDL,2016,289.4530201342282,373.1476510067114,662.6006711409397
LICT,2016,286.95,236.5,523.45
LFST,2015,37.33542319749216,331.51097178683386,368.846394984326
EPLL,2015,168.35294117647058,174.14705882352942,342.5
EGMC,2019,0.25277161862527714,-61.7450110864745,-61.492239467849224
LPPR,2019,686.2921568627451,714.2980392156862,1400.5901960784313
BIKF,2019,795.9617021276596,367.5148936170213,1163.476595744681
EGPH,2018,318.38004750593825,381.98218527315913,700.3622327790974
EHBK,2015,-814.8,-897.7142857142857,-1712.5142857142857
LIML,2019,291.9036697247706,362.99311926605503,654.8967889908257
EPBY,2018,-60.0,129.0,69.0
ENAL,2015,-16.378723404255318,145.331914893617,128.9531914893617
EGLF,2015,-216.0,53.2,-162.8
EGHI,2019,327.86008230452677,509.15843621399176,837.0185185185185
LFLX,2018,-900.0,-1795.0,-2695.0
LFBD,2018,390.0776470588235,439.3411764705882,829.4188235294117
EDDT,2019,376.34929906542055,571.0560747663551,947.4053738317757
EGGD,2019,464.44331395348837,634.4738372093024,1098.9171511627908
EGJJ,2016,-75.66666666666667,-231.66666666666666,-307.3333333333333
LPLA,2015,112.5,9.75,122.25
EGJB,2015,-399.1666666666667,-914.3333333333334,-1313.5
LICC,2018,702.2126696832579,569.6199095022624,1271.8325791855204
LSGG,2016,370.76616915422886,113.52338308457712,484.289552238806
ETMN,2016,-360.0,-308.0,-668.0
LIPE,2015,278.58230958230956,270.8894348894349,549.4717444717445
EVRA,2015,148.057761732852,134.51985559566788,282.57761732851986
LFMT,2015,128.83495145631068,-60.019417475728154,68.81553398058253
LHBP,2019,480.3153526970954,208.00414937759336,688.3195020746888
EYKA,2016,71.45454545454545,-36.36363636363637,35.09090909090909
LSZB,2018,467.1219512195122,389.8292682926829,856.9512195121952
LGTS,2016,447.8191489361702,374.67021276595744,822.4893617021277
LGIR,2015,559.8879310344828,257.0689655172414,816.9568965517242
ESSL,2015,63.46953405017921,187.97132616487454,251.44086021505376
EGAA,2015,179.68965517241378,342.6551724137931,522.3448275862069
LEBL,2019,699.3426150121065,769.6700968523003,1469.0127118644068
EDDF,2019,580.6733564013841,520.4076124567474,1101.0809688581314
LIPE,2018,517.8972868217054,210.09302325581396,727.9903100775193
LEBL,2016,595.4876580373269,664.6207104154124,1260.1083684527393
EGFF,2019,218.15151515151516,542.0964187327824,760.2479338842975
EGGP,2019,238.75272727272727,-21.62181818181818,217.13090909090909
EDDS,2019,397.54413892908826,193.21997105643993,590.7641099855282
EDDH,2016,165.37691401649,194.82449941107186,360.2014134275618
EDLW,2015,600.0,756.0,1356.0
EPWR,2018,430.5833333333333,88.41666666666667,519.0
LGHI,2016,78.0,-17.2,60.8
EGMC,2016,52.267195767195766,62.716931216931215,114.98412698412699
EGCN,2016,433.7628865979381,414.8453608247423,848.6082474226804
LGZA,2016,459.1304347826087,497.7282608695652,956.8586956521739
EICK,2019,281.36507936507934,527.6190476190476,808.984126984127
LEZL,2019,456.3802281368821,456.0874524714829,912.4676806083651
LPPS,2019,720.0,2245.0,2965.0
EGTK,2015,-1320.0,-1394.0,-2714.0
EHRD,2018,57.88095238095238,18.023809523809526,75.9047619047619
LKPR,2015,163.8048780487805,171.80255516840882,335.60743321718934
ESNZ,2015,306.0,317.0,623.0
LFBE,2019,344.864406779661,205.32203389830508,550.1864406779661
EHGG,2015,282.15909090909093,-5.363636363636363,276.79545454545456
LFLC,2015,141.58227848101265,286.39240506329116,427.9746835443038
EFKS,2019,356.1666666666667,650.0833333333334,1006.25
EHRD,2016,-231.33333333333334,-379.05128205128204,-610.3846153846154
LERJ,2015,1016.0,734.0,1750.0
EFHK,2019,397.70428015564204,469.76913099870296,867.4734111543451
EFKS,2018,-180.0,41.0,-139.0
LFLL,2018,335.5995850622407,188.201244813278,523.8008298755186
LATI,2018,328.75,147.22727272727272,475.97727272727275
