ADEP,ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
EHAM,LFMN,2021,150.36754176610978,-150.01193317422434,0.3556085918854415,6735.334128878281,6735.689737470167
EHAM,BIKF,2021,283.67469879518075,484.4759036144578,768.1506024096385,10789.415662650603,11557.56626506024
EHAM,LEVC,2020,-37.46330275229358,166.75229357798165,129.28899082568807,7858.715596330275,7988.004587155963
EHEH,LDDU,2020,500.0,143.33333333333334,643.3333333333334,7679.0,8322.333333333334
EHAM,LGKR,2020,-408.0,-146.06666666666666,-554.0666666666667,9002.266666666666,8448.2
EHRD,LDPL,2020,74.0,208.0,282.0,6022.571428571428,6304.571428571428
EHEH,LKPR,2021,-87.6774193548387,-339.83870967741933,-427.51612903225805,4498.193548387097,4070.6774193548385
EHBK,LEGR,2020,2580.0,2847.0,5427.0,9345.0,14772.0
EHEH,EDDF,2021,240.0,-1399.0,-1159.0,4493.0,3334.0
EHBK,LROP,2021,-54.5,-372.125,-426.625,9103.125,8676.5
EHAM,EHBK,2020,132.0,564.2,696.2,1818.2,2514.4
EHRD,LGKO,2021,315.625,206.875,522.5,11864.125,12386.625
EHAM,EGNJ,2020,-214.03703703703704,419.9259259259259,205.88888888888889,2986.962962962963,3192.8518518518517
EHAM,LIPX,2021,158.88732394366198,285.7042253521127,444.59154929577466,5582.87323943662,6027.4647887323945
EHAM,LOWS,2021,156.1,102.2,258.3,5057.033333333334,5315.333333333333
EHAM,EGLC,2020,-111.99666666666667,155.23666666666668,43.24,2987.65,3030.89
EHEH,EPWR,2020,-385.8125,-671.625,-1057.4375,5301.6875,4244.25
EHAM,EBLG,2020,-993.08,279.28,-713.8,1397.96,684.16
EHBK,EHRD,2020,420.0,256.0,676.0,2233.0,2909.0
EHEH,LEMG,2021,98.49528301886792,146.04716981132074,244.54245283018867,9806.155660377359,10050.698113207547
EHEH,EPKK,2020,-263.22727272727275,-268.54545454545456,-531.7727272727273,5836.943181818182,5305.170454545455
EHEH,LEBL,2021,242.66336633663366,184.63366336633663,427.2970297029703,6908.227722772277,7335.524752475248
EHAM,EDDB,2020,-93.82022471910112,66.83707865168539,-26.98314606741573,4011.4719101123596,3984.4887640449438
EHAM,EGPD,2020,-198.97014925373134,75.33955223880596,-123.63059701492537,4610.242537313433,4486.611940298508
EHAM,EYKA,2021,-60.0,-496.0,-556.0,7362.0,6806.0
EHRD,EHAM,2021,-1500.0,-1050.0,-2550.0,1018.0,-1532.0
EHAM,LIMC,2021,194.38498789346247,-245.46973365617433,-51.08474576271186,5935.142857142857,5884.058111380145
EHAM,EDDB,2021,85.38145896656535,528.1747720364741,613.5562310030396,3825.785714285714,4439.341945288754
EHAM,EGNX,2021,20.13157894736842,265.36842105263156,285.5,3545.065789473684,3830.565789473684
EHEH,LICC,2021,305.9,-2.7666666666666666,303.1333333333333,9380.633333333333,9683.766666666666
EHGG,EBBR,2021,240.0,476.0,716.0,2857.0,3573.0
EHEH,LGZA,2021,248.0,382.3333333333333,630.3333333333334,9969.466666666667,10599.8
EHAM,LMML,2020,300.25925925925924,580.7037037037037,880.9629629629629,9911.0,10791.962962962964
EHAM,EGAC,2020,-138.48837209302326,119.81395348837209,-18.674418604651162,4850.418604651163,4831.7441860465115
EHBK,EDDF,2020,86.375,-262.5,-176.125,3274.625,3098.5
EHRD,LGZA,2021,315.0,101.25,416.25,10341.75,10758.0
EHRD,LIML,2021,600.0,213.0,813.0,5528.0,6341.0
EHEH,LIRQ,2021,360.0,3550.0,3910.0,6172.0,10082.0
EHAM,LFRS,2021,214.8230769230769,565.9846153846154,780.8076923076923,4743.130769230769,5523.9384615384615
EHAM,LEBL,2020,228.15648854961833,415.2729007633588,643.4293893129772,6956.666030534351,7600.095419847328
EHEH,EPGD,2020,-387.9107142857143,-555.0,-942.9107142857143,5574.375,4631.464285714285
EHAM,EPWR,2020,-117.18181818181819,-72.94545454545455,-190.12727272727273,5169.454545454545,4979.327272727272
EHAM,LGAV,2020,91.98051948051948,104.77597402597402,196.7564935064935,10827.295454545454,11024.051948051949
EHEH,EGCC,2020,-344.2916666666667,-266.8333333333333,-611.125,4117.791666666667,3506.6666666666665
EHBK,LOWI,2020,540.0,1017.0,1557.0,3866.5,5423.5
EHRD,LIML,2020,-1402.0,-1287.0,-2689.0,5496.0,2807.0
EHEH,LGAV,2021,54.84090909090909,-134.5,-79.6590909090909,10587.0,10507.34090909091
EHBK,LEAL,2021,30.774193548387096,-9.193548387096774,21.580645161290324,8805.290322580646,8826.870967741936
EHBK,LQBK,2021,900.0,940.0,1840.0,6620.0,8460.0
EHAM,EFIV,2021,180.0,166.0,346.0,11906.0,12252.0
EHAM,LIPO,2021,240.0,182.0,422.0,5353.0,5775.0
EHAM,EFKT,2020,-22.0625,364.8125,342.75,9491.5,9834.25
EHEH,EBBR,2020,-154.0,197.0,43.0,1533.0,1576.0
EHAM,LOWI,2021,371.72340425531917,585.1702127659574,956.8936170212766,4788.255319148936,5745.148936170212
EHAM,LFBD,2020,114.92822966507177,437.0430622009569,551.9712918660288,5364.11961722488,5916.090909090909
EHLE,ESMS,2020,960.0,-550.0,410.0,6606.0,7016.0
EHAM,LEST,2021,404.3703703703704,649.1111111111111,1053.4814814814815,8056.407407407408,9109.888888888889
EHAM,ENGM,2020,-22.32420091324201,192.5662100456621,170.2420091324201,5543.518264840182,5713.760273972603
EHEH,EFHK,2020,-180.0,-362.0,-542.0,7638.0,7096.0
EHBK,EDDL,2020,60.0,257.0,317.0,1570.0,1887.0
EHEH,LOWG,2021,-300.0,-380.5,-680.5,5364.5,4684.0
EHAM,LEBL,2021,228.91440953412786,477.8277356446371,706.7421451787649,6968.911159263272,7675.653304442037
EHAM,EDDC,2020,-176.34146341463415,336.9024390243902,160.5609756097561,3776.609756097561,3937.170731707317
EHEH,LMML,2020,-320.22222222222223,-545.1111111111111,-865.3333333333334,9628.222222222223,8762.888888888889
EHAM,EGLF,2020,0.0,233.0,233.0,3967.0,4200.0
