ADEP,ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
EHEH,LHDC,2016,461.5348837209302,308.7906976744186,770.3255813953489,7048.674418604651,7819.0
EHGG,EKCH,2016,-646.4067796610169,-957.7118644067797,-1604.1186440677966,4027.4745762711864,2423.35593220339
EHAM,LBSF,2015,552.0791366906475,706.7769784172662,1258.8561151079136,8923.366906474821,10182.223021582733
EHEH,LERJ,2015,1016.0,734.0,1750.0,6551.0,8301.0
EHEH,EPKK,2018,322.3333333333333,231.92708333333334,554.2604166666666,5891.0,6445.260416666667
EHKD,EGSH,2018,-82.28571428571429,-383.14285714285717,-465.42857142857144,3027.285714285714,2561.8571428571427
EHAM,ESSL,2016,75.53697749196141,181.7331189710611,257.2700964630225,5767.90996784566,6025.180064308682
EHEH,LICC,2016,374.1463414634146,114.41463414634147,488.5609756097561,9297.365853658537,9785.926829268292
EHAM,ESMS,2016,470.0,501.36842105263156,971.3684210526316,4609.0526315789475,5580.421052631579
EHAM,LOWS,2019,332.97333333333336,239.26666666666668,572.24,5006.986666666667,5579.2266666666665
EHAM,LFML,2019,554.963687150838,584.1536312849162,1139.1173184357542,6210.368715083799,7349.486033519553
EHEH,EPMO,2019,199.3015873015873,-114.73015873015873,84.57142857142857,6183.476190476191,6268.047619047619
EHRD,LFST,2015,360.0,620.0,980.0,4550.0,5530.0
EHAM,LOWW,2019,696.2857142857143,804.5329991645781,1500.8187134502923,5800.714285714285,7301.5329991645785
EHAM,EGPD,2019,215.1943396226415,341.1962264150943,556.3905660377359,4888.773584905661,5445.164150943397
EHEH,LIRN,2018,874.5,668.7058823529412,1543.2058823529412,7483.029411764706,9026.235294117647
EHBK,EPWR,2018,230.66666666666666,-589.6666666666666,-359.0,7080.333333333333,6721.333333333333
EHAM,LEPA,2016,490.5940959409594,495.61623616236164,986.210332103321,8054.265682656826,9040.476014760148
EHAM,LFMT,2015,125.24358974358974,-29.987179487179485,95.25641025641026,6541.25641025641,6636.51282051282
EHEH,LBWN,2019,826.0833333333334,586.4722222222222,1412.5555555555557,9821.75,11234.305555555555
EHAM,EBBR,2018,327.62189054726366,431.5621890547264,759.1840796019901,2081.3880597014927,2840.572139303483
EHEH,LIEA,2018,1150.0689655172414,908.448275862069,2058.5172413793102,6890.689655172414,8949.206896551725
EHAM,LGKL,2016,637.5,658.5,1296.0,11351.75,12647.75
EHAM,LGRP,2015,471.37,205.59,676.96,12665.29,13342.25
EHEH,EFHK,2015,60.0,374.0,434.0,9322.0,9756.0
EHBK,LZIB,2015,-240.0,-913.0,-1153.0,6622.0,5469.0
EHAM,LEAL,2016,513.395,682.43,1195.825,8674.6725,9870.4975
EHAM,ESNU,2016,180.0,297.0,477.0,8558.0,9035.0
EHEH,EPKT,2015,117.53153153153153,18.73873873873874,136.27027027027026,5559.756756756757,5696.027027027027
EHAM,LSGG,2019,498.1299603174603,278.8670634920635,776.9970238095239,5069.596230158731,5846.5932539682535
EHAM,LPPT,2019,969.7261663286004,1024.8184584178498,1994.5446247464504,10374.854969574037,12369.399594320486
EHAM,LEVC,2019,555.1416837782341,519.4229979466119,1074.564681724846,8210.581108829569,9285.145790554414
EHRD,EBBR,2019,-105.0,116.25,11.25,1725.25,1736.5
EHAM,EGFF,2018,209.6697247706422,392.38837920489294,602.0581039755351,4056.021406727829,4658.079510703364
EHEH,EPWA,2018,428.3970588235294,204.13235294117646,632.5294117647059,6183.882352941177,6816.411764705882
EHAM,LKPR,2016,205.78571428571428,138.14835164835165,343.9340659340659,4888.557142857143,5232.491208791209
EHAM,LOWW,2016,385.90547263681594,582.5681592039801,968.473631840796,5773.9900497512435,6742.463681592039
EHEH,EIDW,2015,138.7948717948718,24.025641025641026,162.82051282051282,5807.547008547009,5970.3675213675215
EHAM,EDDR,2015,420.0,-328.0,92.0,4351.0,4443.0
EHBK,LSGS,2019,-919.0,-1802.0,-2721.0,4793.0,2072.0
EHEH,ESSA,2018,-8.0,183.62,175.62,6721.36,6896.98
EHEH,EPWR,2018,437.98765432098764,113.53086419753086,551.5185185185185,5130.444444444444,5681.962962962963
EHEH,EPWA,2016,271.0188679245283,71.98113207547169,343.0,6262.452830188679,6605.452830188679
EHRD,LRTR,2016,-840.0,-2485.0,-3325.0,14693.0,11368.0
EHAM,LFBO,2015,254.0353200883002,189.28256070640177,443.317880794702,6163.10816777042,6606.426048565121
EHBK,LEBL,2019,309.45454545454544,416.54545454545456,726.0,6655.454545454545,7381.454545454545
EHAM,LGTS,2018,745.8925619834711,495.5206611570248,1241.4132231404958,9916.785123966942,11158.198347107438
EHEH,LHDC,2018,482.47727272727275,368.25,850.7272727272727,6927.636363636364,7778.363636363636
EHLE,ESMS,2018,-510.0,210.0,-300.0,6037.0,5737.0
EHAM,LFCR,2018,1140.0,1394.0,2534.0,5904.0,8438.0
EHAM,EDDK,2016,408.3076923076923,-37.0,371.3076923076923,3712.923076923077,4084.230769230769
EHAM,EHEH,2015,583.7,765.5,1349.2,1672.4,3021.6
EHAM,BIKF,2019,799.1068376068376,363.44017094017096,1162.5470085470085,11463.78205128205,12626.32905982906
EHEH,LEMG,2019,323.70526315789476,288.30526315789473,612.0105263157894,9918.456140350878,10530.466666666667
EHEH,EYVI,2019,28.49019607843137,316.6666666666667,345.15686274509807,7013.882352941177,7359.0392156862745
EHRD,LIPZ,2018,442.1636363636364,-8.036363636363637,434.1272727272727,5974.872727272727,6409.0
EHAM,EDDP,2016,103.95767195767196,-200.85185185185185,-96.8941798941799,4499.3650793650795,4402.4708994709
EHEH,LELC,2016,643.7391304347826,83.3913043478261,727.1304347826087,9181.695652173914,9908.826086956522
EHAM,LIPH,2016,2280.0,4511.0,6791.0,5969.0,12760.0
EHAM,LIMJ,2019,368.3151515151515,342.08484848484846,710.4,5929.642424242425,6640.042424242424
EHRD,LPFR,2019,224.9712643678161,108.61494252873563,333.58620689655174,10425.988505747126,10759.574712643678
EHBK,EGSS,2016,120.0,585.0,705.0,3101.0,3806.0
EHAM,LIEE,2015,0.0,-77.5,-77.5,8511.5,8434.0
EHAM,EPWA,2019,699.6706666666666,344.4626666666667,1044.1333333333334,6742.808,7786.941333333333
EHAM,EPKK,2018,340.0112676056338,206.22535211267606,546.2366197183098,6124.264788732395,6670.501408450704
EHEH,EPBY,2018,-60.0,129.0,69.0,4804.5,4873.5
EHRD,LHBP,2016,50.080882352941174,-248.55882352941177,-198.47794117647058,6886.639705882353,6688.161764705882
EHRD,EHAM,2016,-203.07692307692307,-985.5384615384615,-1188.6153846153845,2499.230769230769,1310.6153846153845
EHAM,EKOD,2016,540.0,-49.0,491.0,5658.0,6149.0
EHEH,LEIB,2015,184.7741935483871,53.78225806451613,238.55645161290323,8323.508064516129,8562.064516129032
EHAM,LFMT,2019,448.06508875739644,205.9171597633136,653.9822485207101,6378.420118343195,7032.402366863906
