origin;destination;year;month;avg_time_difference;count;;;;;;
EHGG;EHRD;2022;3;27.695.555.555.555.500;9;;;;Flights in 2020;80931;
EHVK;EHBD;2022;3;986.25;4;;;;Flights in 2021;124186;
EHAM;EDNY;2022;3;3519.0;2;;;;Flights in 2022;58138;
EHBD;EDLF;2022;3;2271.0;1;;;;;;
EHEH;EVTA;2022;3;6179.0;1;;;;;;
EHGG;LIPE;2022;3;6260.0;1;;;;Highest Count in 2020;462;EHAM -> EGLL
EHEH;ESMT;2022;3;4562.0;1;;;;Highest Count in 2021;528;EHDB -> EHDB
EHTW;EDDG;2022;3;1646.0;1;;;;Highest Count in 2022;431;EHDB -> EHDB
EHAM;LRCK;2022;3;8246.0;1;;;;;;
EHRD;EDRK;2022;3;4616.0;1;;;;;;
EHEH;EHLE;2022;3;2709.0;1;;;;;;
EHAM;LOWW;2022;3;5.211.369.565.217.390;184;;;;;;
EHBK;LEJR;2022;3;9447.0;1;;;;;;
EHBK;EDLN;2022;3;1041.0;3;;;;;;
EHRD;LIDT;2022;3;5699.0;2;;;;;;
EHLE;EHOW;2022;3;2253.0;1;;;;;;
EHBK;ESGG;2022;3;4402.0;1;;;;;;
EHBK;EGCN;2022;3;3928.0;1;;;;;;
EHRD;EDDH;2022;3;27.043.333.333.333.300;6;;;;;;
EHGG;EHKD;2022;3;2446.0;1;;;;;;
EHKD;EGSH;2022;3;4873.0;2;;;;;;
EHGG;EKOD;2022;3;5023.0;3;;;;;;
EHAM;EGWU;2022;3;2801.5;6;;;;;;
EHAM;EGAD;2022;3;40.856.666.666.666.600;3;;;;;;
EHTW;EHGG;2022;3;2005.0;1;;;;;;
EHMZ;EDLE;2022;3;4114.0;1;;;;;;
EHAM;EGGD;2022;3;3.434.822.222.222.220;135;;;;;;
EHTE;EDGE;2022;3;4099.0;1;;;;;;
EHEH;LMML;2022;3;8.958.125;8;;;;;;
EHAM;EHND;2022;3;12.283.333.333.333.300;3;;;;;;
EHRD;LFHN;2022;3;3904.25;4;;;;;;
EHRD;EDRP;2022;3;2685.0;1;;;;;;
EHBK;EDFB;2022;3;2870.0;2;;;;;;
EHEH;EDRX;2022;3;1969.0;2;;;;;;
EHAM;EGTK;2022;3;37.426.666.666.666.600;3;;;;;;
EHEH;EKKA;2022;3;5223.0;1;;;;;;
EHGG;LFMW;2022;3;5415.0;1;;;;;;
EHBK;EGGW;2022;3;3502.0;1;;;;;;
EHST;EHTE;2022;3;3782.0;1;;;;;;
EHRD;LFOS;2022;3;5123.0;1;;;;;;
EHBK;LSZS;2022;3;3015.0;1;;;;;;
EHAM;EDDM;2022;3;37.415.485.232.067.500;237;;;;;;
EHAM;LSGS;2022;3;4754.8;5;;;;;;
EHAM;EVEA;2022;3;6362.5;14;;;;;;
EHVK;EHRD;2022;3;1257.0;1;;;;;;
EHLE;EGNH;2022;3;8316.0;1;;;;;;
EHTE;LFPN;2022;3;4300.0;1;;;;;;
EHAM;EGNT;2022;3;33.401.348.314.606.700;89;;;;;;
EHAM;LIMF;2022;3;49.412.037.037.037.000;54;;;;;;
EHAM;EETN;2022;3;7670.0;31;;;;;;
EHAM;LFLL;2022;3;43.111.578.947.368.400;38;;;;;;
EHRD;EDRY;2022;3;3390.5;2;;;;;;
EHAM;LFNL;2022;3;5173.0;2;;;;;;
EHEH;LSZM;2022;3;2770.5;2;;;;;;
EHRD;LSMD;2022;3;3574.0;1;;;;;;
EHEH;EYKA;2022;3;6607.0;1;;;;;;
EHAM;LJCE;2022;3;5.261.075.471.698.110;53;;;;;;
EHSE;LSGK;2022;3;5223.0;1;;;;;;
EHAM;EBAW;2022;3;13.568.333.333.333.300;6;;;;;;
EHTX;EGSM;2022;3;3580.0;2;;;;;;
EHRD;LPAR;2022;3;9515.0;1;;;;;;
EHHV;EHBD;2022;3;9319.0;1;;;;;;
EHAM;EKCH;2022;3;36.143.566.666.666.600;300;;;;;;
EHBD;ELLX;2022;3;2039.0;2;;;;;;
EHSE;EDWF;2022;3;6947.5;2;;;;;;
EHAM;LDZL;2022;3;5.520.875;8;;;;;;
EHAM;EDMA;2022;3;3681.0;1;;;;;;
EHGG;EDTX;2022;3;2993.0;1;;;;;;
EHRD;LIML;2022;3;5210.0;1;;;;;;
EHTX;EDWI;2022;3;3539.0;1;;;;;;
EHDR;EHAL;2022;3;1532.0;1;;;;;;
EHRD;EBAW;2022;3;21.173.333.333.333.300;9;;;;;;
EHDB;EHHV;2022;3;2070.5;2;;;;;;
EHBK;EGHH;2022;3;3582.0;1;;;;;;
EHAM;LFAT;2022;3;4523.0;1;;;;;;
EHEH;LICZ;2022;3;8996.0;1;;;;;;
EHAM;ELLX;2022;3;2.429.295.238.095.230;105;;;;;;
EHEH;LSGK;2022;3;4439.0;1;;;;;;
EHEH;EYVI;2022;3;6.908.136.363.636.360;22;;;;;;
EHBD;LFLU;2022;3;8178.0;2;;;;;;
EHRD;EBBR;2022;3;14.206.666.666.666.600;3;;;;;;
EHBD;EGBJ;2022;3;4617.0;1;;;;;;
EHTW;EHSE;2022;3;4299.0;1;;;;;;
EHSE;EHTX;2022;3;3334.5;2;;;;;;
EHEH;EDDN;2022;3;36.793.333.333.333.300;3;;;;;;
EHAM;EGLL;2022;3;28.688.274.853.801.100;342;;;;;;
EHEH;LIPH;2022;3;4541.3;10;;;;;;
EHAM;LEMO;2022;3;10008.0;1;;;;;;
EHAM;LDSR;2022;3;6472.0;1;;;;;;
EHRD;EIKN;2022;3;4476.0;1;;;;;;
EHAM;EGBM;2022;3;6153.0;1;;;;;;
EHKD;EHTX;2022;3;929.953.488.372.093;43;;;;;;
EHHV;EHHV;2022;3;5.370.666.666.666.660;9;;;;;;
EHHO;EHGG;2022;3;1191.6;5;;;;;;
EHDR;EHHO;2022;3;992.5;2;;;;;;
EHTE;EDWF;2022;3;1950.0;1;;;;;;
EHSE;LSGB;2022;3;9233.0;1;;;;;;
EHBK;EBZH;2022;3;1598.0;1;;;;;;
EHAM;EGPH;2022;3;3.859.622.377.622.370;143;;;;;;
EHGG;EDLI;2022;3;3149.0;1;;;;;;
EHAM;LZIB;2022;3;5231.0;4;;;;;;
EHMZ;EBZH;2022;3;2983.0;2;;;;;;
EHEH;EDDF;2022;3;2620.0;1;;;;;;
EHAL;EDLS;2022;3;3397.0;1;;;;;;
EHLW;EBBR;2022;3;2134.0;1;;;;;;
EHAM;EGGW;2022;3;30.315.454.545.454.500;176;;;;;;
EHEH;ETNG;2022;3;783.0;1;;;;;;
EHGG;EDWN;2022;3;1976.0;1;;;;;;
