origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,EDDF,2022,5,2594.7551020408164
EHAM,EDDF,2022,11,2721.6979865771814
EHAM,EDDF,2019,11,2806.9504132231405
EHAM,EDDF,2022,2,2672.9405405405405
EHAM,EDDF,2020,10,2688.619047619048
EHAM,EDDF,2021,1,2709.7479674796746
EHAM,EDDF,2022,7,2633.3507462686566
EHAM,EDDF,2019,8,2710.4615384615386
EHAM,EDDF,2019,10,2695.6619718309857
EHAM,EDDF,2022,3,2709.6912442396315
EHAM,EDDF,2019,5,2856.080971659919
EHAM,EDDF,2021,12,2685.123222748816
EHAM,EDDF,2019,1,2866.203821656051
EHAM,EDDF,2020,5,2892.9333333333334
EHAM,EDDF,2022,6,2561.078125
EHAM,EDDF,2019,7,2838.775401069519
EHAM,EDDF,2021,10,2668.804469273743
EHAM,EDDF,2021,9,2708.2
EHAM,EDDF,2021,6,2796.6050420168067
EHAM,EDDF,2019,3,2720.798657718121
EHAM,EDDF,2021,5,2810.97247706422
EHAM,EDDF,2021,4,2677.192660550458
EHAM,EDDF,2020,8,2884.6615384615384
EHAM,EDDF,2020,4,2919.1139240506327
EHAM,EDDF,2022,9,2657.608695652174
EHAM,EDDF,2022,4,2648.1454545454544
EHAM,EDDF,2021,8,2725.125
EHAM,EDDF,2019,6,2835.809045226131
EHAM,EDDF,2019,4,2829.8312757201647
EHAM,EDDF,2021,3,2748.247058823529
EHAM,EDDF,2020,9,2968.9205298013244
EHAM,EDDF,2020,12,2720.7843137254904
EHAM,EDDF,2022,10,2665.225961538461
EHAM,EDDF,2021,7,2740.1753246753246
EHAM,EDDF,2019,12,2777.8623188405795
EHAM,EDDF,2021,11,2744.117073170732
EHAM,EDDF,2022,1,2702.731578947368
EHAM,EDDF,2019,2,2671.541237113402
EHAM,EDDF,2020,11,2669.1296296296296
EHAM,EDDF,2021,2,2646.268292682927
EHAM,EDDF,2020,6,3002.593023255814
EHAM,EDDF,2022,8,2647.8475836431226
EHAM,EDDF,2019,9,2718.435185185185
EHAM,EDDF,2020,1,2835.239263803681
EHAM,EDDF,2020,2,2802.926470588235
EHAM,EDDF,2020,3,2851.780821917808
EHAM,EDDF,2020,7,2775.027027027027
