origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,EDDM,2022,6,3637.9030837004407
EHAM,EDDM,2019,7,3785.536082474227
EHAM,EDDM,2021,7,3756.7520661157023
EHAM,EDDM,2021,9,3813.777142857143
EHAM,EDDM,2021,6,3779.3225806451615
EHAM,EDDM,2022,1,3671.3560209424086
EHAM,EDDM,2019,3,3814.52
EHAM,EDDM,2022,5,3652.119341563786
EHAM,EDDM,2021,5,3730.863636363637
EHAM,EDDM,2019,1,3990.37556561086
EHAM,EDDM,2019,11,3855.561983471074
EHAM,EDDM,2021,10,3671.621052631579
EHAM,EDDM,2020,8,3692.073529411765
EHAM,EDDM,2022,2,3621.309523809524
EHAM,EDDM,2021,4,3744.538461538461
EHAM,EDDM,2020,10,3639.5766423357663
EHAM,EDDM,2020,11,3685.268656716418
EHAM,EDDM,2020,6,3710.923076923077
EHAM,EDDM,2022,8,3677.193396226415
EHAM,EDDM,2019,9,3762.3355048859935
EHAM,EDDM,2022,11,3703.226053639847
EHAM,EDDM,2020,2,3746.2760180995474
EHAM,EDDM,2020,3,3766.8275862068967
EHAM,EDDM,2021,1,3691.3870967741937
EHAM,EDDM,2022,10,3609.7843137254895
EHAM,EDDM,2019,12,3770.308370044053
EHAM,EDDM,2020,1,3837.8619402985073
EHAM,EDDM,2021,11,3796.0591133004928
EHAM,EDDM,2019,2,3857.721774193548
EHAM,EDDM,2020,7,3600.968253968254
EHAM,EDDM,2021,2,3661.560975609756
EHAM,EDDM,2022,9,3639.352459016394
EHAM,EDDM,2019,8,3699.154716981132
EHAM,EDDM,2022,4,3642.9194139194137
EHAM,EDDM,2019,6,3971.533582089552
EHAM,EDDM,2021,12,3687.5742574257424
EHAM,EDDM,2019,4,3939.486891385768
EHAM,EDDM,2021,3,3760.911111111111
EHAM,EDDM,2020,5,3703.1111111111113
EHAM,EDDM,2022,7,3582.62874251497
EHAM,EDDM,2019,10,3683.735395189004
EHAM,EDDM,2021,8,3717.484615384616
EHAM,EDDM,2022,3,3744.869346733669
EHAM,EDDM,2019,5,4046.214983713355
EHAM,EDDM,2020,9,3668.691428571429
EHAM,EDDM,2020,12,3740.681818181818
EHAM,EDDM,2020,4,3802.3333333333335
