origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,EGLL,2022,8,2825.729559748428
EHAM,EGLL,2019,12,3178.927927927928
EHAM,EGLL,2022,11,2915.518779342723
EHAM,EGLL,2021,11,2616.9509202453987
EHAM,EGLL,2020,8,2716.103626943005
EHAM,EGLL,2019,10,3210.2569444444443
EHAM,EGLL,2019,7,3196.930864197531
EHAM,EGLL,2019,9,3259.3255813953488
EHAM,EGLL,2021,10,2644.5593220338983
EHAM,EGLL,2021,9,2827.6065573770493
EHAM,EGLL,2022,2,2765.909090909091
EHAM,EGLL,2021,5,2680.747474747475
EHAM,EGLL,2021,4,2683.8809523809523
EHAM,EGLL,2020,12,2584.5174825174827
EHAM,EGLL,2021,2,2638.909090909091
EHAM,EGLL,2022,5,2794.687116564417
EHAM,EGLL,2021,7,2529.5789473684213
EHAM,EGLL,2021,8,2589.98
EHAM,EGLL,2019,5,3348.746376811594
EHAM,EGLL,2020,6,2756.8524590163934
EHAM,EGLL,2022,7,2867.356164383561
EHAM,EGLL,2019,8,3040.388489208633
EHAM,EGLL,2022,4,2824.2244897959185
EHAM,EGLL,2019,6,3315.4158415841584
EHAM,EGLL,2019,3,3196.0761316872427
EHAM,EGLL,2019,1,3324.8268156424583
EHAM,EGLL,2021,3,2538.8653846153848
EHAM,EGLL,2020,11,2541.0263157894738
EHAM,EGLL,2020,5,2985.095238095238
EHAM,EGLL,2022,9,2810.778409090909
EHAM,EGLL,2019,11,3019.6425339366515
EHAM,EGLL,2021,6,2631.685950413223
EHAM,EGLL,2020,3,3083.725165562914
EHAM,EGLL,2020,9,2488.8853503184714
EHAM,EGLL,2022,10,2868.054794520548
EHAM,EGLL,2021,12,2771.8888888888887
EHAM,EGLL,2019,4,3393.6082474226805
EHAM,EGLL,2020,10,2626.517045454545
EHAM,EGLL,2020,4,2921.4137931034484
EHAM,EGLL,2022,6,2817.1058020477817
EHAM,EGLL,2020,1,3133.8508946322067
EHAM,EGLL,2022,3,2876.2620689655173
EHAM,EGLL,2020,2,3381.2451923076924
EHAM,EGLL,2022,1,2664.995798319328
EHAM,EGLL,2019,2,3083.701421800948
EHAM,EGLL,2020,7,3098.300653594771
EHAM,EGLL,2021,1,2619.2558139534885
EHAM,EGLL,2022,6,2817.1058020477817
EHAM,EGLL,2019,8,3040.388489208633
EHAM,EGLL,2019,7,3196.930864197531
EHAM,EGLL,2021,9,2827.6065573770493
EHAM,EGLL,2021,12,2771.8888888888887
EHAM,EGLL,2021,6,2631.685950413223
EHAM,EGLL,2021,5,2680.747474747475
EHAM,EGLL,2020,8,2716.103626943005
EHAM,EGLL,2020,9,2488.8853503184714
EHAM,EGLL,2020,5,2985.095238095238
EHAM,EGLL,2022,5,2794.687116564417
EHAM,EGLL,2019,11,3019.6425339366515
EHAM,EGLL,2021,10,2644.5593220338983
EHAM,EGLL,2022,2,2765.909090909091
EHAM,EGLL,2021,4,2683.8809523809523
EHAM,EGLL,2020,10,2626.517045454545
EHAM,EGLL,2022,10,2868.054794520548
EHAM,EGLL,2019,12,3178.927927927928
EHAM,EGLL,2021,8,2589.98
EHAM,EGLL,2021,11,2616.9509202453987
EHAM,EGLL,2019,2,3083.701421800948
EHAM,EGLL,2020,12,2584.5174825174827
EHAM,EGLL,2020,6,2756.8524590163934
EHAM,EGLL,2022,8,2825.729559748428
EHAM,EGLL,2019,9,3259.3255813953488
EHAM,EGLL,2020,1,3133.8508946322067
EHAM,EGLL,2020,2,3381.2451923076924
EHAM,EGLL,2020,3,3083.725165562914
EHAM,EGLL,2020,7,3098.300653594771
EHAM,EGLL,2020,11,2541.0263157894738
EHAM,EGLL,2021,2,2638.909090909091
EHAM,EGLL,2022,7,2867.356164383561
EHAM,EGLL,2019,10,3210.2569444444443
EHAM,EGLL,2022,11,2915.518779342723
EHAM,EGLL,2022,3,2876.2620689655173
EHAM,EGLL,2019,5,3348.746376811594
EHAM,EGLL,2021,1,2619.2558139534885
EHAM,EGLL,2022,9,2810.778409090909
EHAM,EGLL,2021,7,2529.5789473684213
EHAM,EGLL,2022,4,2824.2244897959185
EHAM,EGLL,2019,6,3315.4158415841584
EHAM,EGLL,2022,1,2664.995798319328
EHAM,EGLL,2019,4,3393.6082474226805
EHAM,EGLL,2019,3,3196.0761316872427
EHAM,EGLL,2019,1,3324.8268156424583
EHAM,EGLL,2021,3,2538.8653846153848
EHAM,EGLL,2020,4,2921.4137931034484
