origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,EIDW,2022,9,4390.469387755102
EHAM,EIDW,2021,7,4027.5408805031448
EHAM,EIDW,2022,4,4403.159375
EHAM,EIDW,2019,6,4568.951219512195
EHAM,EIDW,2022,1,4371.916666666667
EHAM,EIDW,2019,4,4426.099173553719
EHAM,EIDW,2020,5,4439.676923076923
EHAM,EIDW,2020,4,4321.285714285715
EHAM,EIDW,2022,5,4483.890855457227
EHAM,EIDW,2020,1,4549.959375
EHAM,EIDW,2019,11,4316.460264900662
EHAM,EIDW,2022,2,4765.656126482213
EHAM,EIDW,2020,10,4295.637931034483
EHAM,EIDW,2020,7,4348.90625
EHAM,EIDW,2020,11,4211.244897959184
EHAM,EIDW,2021,2,4378.933333333333
EHAM,EIDW,2022,7,4441.879562043796
EHAM,EIDW,2019,10,4595.353146853146
EHAM,EIDW,2020,6,4227.296875
EHAM,EIDW,2022,8,4420.337704918033
EHAM,EIDW,2021,8,4090.456043956044
EHAM,EIDW,2022,3,4243.0888888888885
EHAM,EIDW,2019,9,4803.018181818182
EHAM,EIDW,2022,11,4440.760714285714
EHAM,EIDW,2019,5,4568.186170212766
EHAM,EIDW,2020,2,4864.714776632302
EHAM,EIDW,2019,3,4627.95406360424
EHAM,EIDW,2020,3,4587.333333333333
EHAM,EIDW,2021,5,4161.670212765957
EHAM,EIDW,2021,1,4219.293103448276
EHAM,EIDW,2019,1,4470.959183673469
EHAM,EIDW,2022,10,4635.591639871383
EHAM,EIDW,2019,12,4532.697068403909
EHAM,EIDW,2020,8,4242.20245398773
EHAM,EIDW,2021,10,4290.233009708738
EHAM,EIDW,2021,11,4267.041666666667
EHAM,EIDW,2020,12,4225.54954954955
EHAM,EIDW,2021,4,4268.851851851852
EHAM,EIDW,2022,6,4460.863333333334
EHAM,EIDW,2019,2,4496.520661157025
EHAM,EIDW,2019,8,4569.030303030303
EHAM,EIDW,2019,7,4523.637096774193
EHAM,EIDW,2021,9,4111.301435406698
EHAM,EIDW,2021,12,4442.285714285715
EHAM,EIDW,2021,6,4069.8818897637793
EHAM,EIDW,2021,3,4251.512195121952
EHAM,EIDW,2020,9,4235.621428571429
