origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,EKCH,2022,8,3438.423076923077
EHAM,EKCH,2019,9,3684.977611940298
EHAM,EKCH,2021,10,3454.5155279503106
EHAM,EKCH,2020,2,3554.0
EHAM,EKCH,2021,4,3544.260869565217
EHAM,EKCH,2020,3,3609.1257142857135
EHAM,EKCH,2021,2,3485.5128205128203
EHAM,EKCH,2022,6,3541.876923076923
EHAM,EKCH,2022,10,3428.1388888888887
EHAM,EKCH,2019,12,3609.342222222222
EHAM,EKCH,2021,8,3498.542857142857
EHAM,EKCH,2021,11,3515.972067039106
EHAM,EKCH,2019,2,3567.098540145985
EHAM,EKCH,2020,12,3450.333333333333
EHAM,EKCH,2020,11,3529.1348314606744
EHAM,EKCH,2019,7,3622.705882352941
EHAM,EKCH,2020,6,3606.1153846153848
EHAM,EKCH,2022,11,3465.770114942529
EHAM,EKCH,2022,5,3454.928229665072
EHAM,EKCH,2021,9,3490.62893081761
EHAM,EKCH,2019,8,3537.4587155963304
EHAM,EKCH,2021,6,3410.145833333333
EHAM,EKCH,2019,11,3533.734082397004
EHAM,EKCH,2019,3,3582.810975609756
EHAM,EKCH,2021,12,3558.7676767676767
EHAM,EKCH,2020,9,3477.4682080924854
EHAM,EKCH,2022,2,3504.2272727272725
EHAM,EKCH,2021,1,3505.35
EHAM,EKCH,2020,10,3482.8740157480315
EHAM,EKCH,2020,5,3487.4444444444443
EHAM,EKCH,2022,7,3414.6331360946747
EHAM,EKCH,2019,10,3379.558139534884
EHAM,EKCH,2020,1,3644.9778597785976
EHAM,EKCH,2022,3,3589.8823529411766
EHAM,EKCH,2019,5,3768.88850174216
EHAM,EKCH,2020,7,3523.5258620689656
EHAM,EKCH,2020,4,3520.2
EHAM,EKCH,2022,9,3494.255411255411
EHAM,EKCH,2021,7,3421.782608695652
EHAM,EKCH,2022,4,3519.616113744076
EHAM,EKCH,2019,6,3618.003676470588
EHAM,EKCH,2022,1,3597.5151515151515
EHAM,EKCH,2019,4,3639.201320132013
EHAM,EKCH,2021,5,3494.646153846154
EHAM,EKCH,2019,1,3997.939622641509
EHAM,EKCH,2020,8,3583.0969696969696
EHAM,EKCH,2021,3,3674.0
