origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,ESSA,2022,5,5730.721212121212
EHAM,ESSA,2020,1,5806.733624454148
EHAM,ESSA,2019,11,5611.2991452991455
EHAM,ESSA,2022,2,5864.922077922078
EHAM,ESSA,2020,10,5602.948275862069
EHAM,ESSA,2022,7,5690.229299363057
EHAM,ESSA,2020,7,5672.5970149253735
EHAM,ESSA,2020,6,5872.175
EHAM,ESSA,2019,10,5493.760784313726
EHAM,ESSA,2022,3,6096.59375
EHAM,ESSA,2021,10,5794.360294117647
EHAM,ESSA,2019,5,5993.674329501916
EHAM,ESSA,2021,4,5870.909090909091
EHAM,ESSA,2019,1,6277.669950738917
EHAM,ESSA,2021,3,5965.64406779661
EHAM,ESSA,2022,9,6081.618497109826
EHAM,ESSA,2022,4,5911.702898550725
EHAM,ESSA,2022,11,5780.847682119205
EHAM,ESSA,2019,6,5700.374485596708
EHAM,ESSA,2019,4,6015.193965517241
EHAM,ESSA,2020,9,5621.488
EHAM,ESSA,2021,1,5848.235294117647
EHAM,ESSA,2020,5,6133.227272727273
EHAM,ESSA,2020,4,6072.515151515152
EHAM,ESSA,2022,6,5668.0142857142855
EHAM,ESSA,2019,7,5911.008695652174
EHAM,ESSA,2021,7,5602.598360655737
EHAM,ESSA,2022,8,5701.517647058824
EHAM,ESSA,2021,9,5833.384615384615
EHAM,ESSA,2021,6,5672.472527472528
EHAM,ESSA,2019,9,5823.38671875
EHAM,ESSA,2022,1,6138.245454545455
EHAM,ESSA,2021,8,5737.519083969466
EHAM,ESSA,2019,3,5859.40625
EHAM,ESSA,2020,2,5722.56783919598
EHAM,ESSA,2021,5,5734.4
EHAM,ESSA,2020,3,5752.866666666667
EHAM,ESSA,2020,8,5685.981651376147
EHAM,ESSA,2020,12,5660.553398058252
EHAM,ESSA,2020,11,5701.644859813084
EHAM,ESSA,2022,10,5681.604395604396
EHAM,ESSA,2019,8,5672.536697247707
EHAM,ESSA,2019,12,5764.162790697675
EHAM,ESSA,2021,12,5984.895833333333
EHAM,ESSA,2021,11,5806.8
EHAM,ESSA,2019,2,5949.517587939698
EHAM,ESSA,2021,2,5812.808219178082
