origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,LEMD,2022,8,7523.914414414415
EHAM,LEMD,2019,8,7742.3538461538465
EHAM,LEMD,2019,9,7586.064393939394
EHAM,LEMD,2020,2,7663.752380952381
EHAM,LEMD,2021,12,7399.810810810811
EHAM,LEMD,2020,3,7535.798611111111
EHAM,LEMD,2022,6,7797.131455399061
EHAM,LEMD,2019,7,7655.0344827586205
EHAM,LEMD,2020,1,7432.739910313901
EHAM,LEMD,2021,9,7478.656934306569
EHAM,LEMD,2021,6,7550.856060606061
EHAM,LEMD,2020,8,8365.2
EHAM,LEMD,2021,3,7266.15294117647
EHAM,LEMD,2020,9,7373.75
EHAM,LEMD,2020,7,7718.1
EHAM,LEMD,2020,5,7747.307692307692
EHAM,LEMD,2022,7,7461.858695652174
EHAM,LEMD,2019,10,7786.531598513011
EHAM,LEMD,2021,7,7571.722543352601
EHAM,LEMD,2022,3,7563.198952879581
EHAM,LEMD,2019,5,7580.257575757576
EHAM,LEMD,2022,1,7317.95
EHAM,LEMD,2019,3,7621.297777777778
EHAM,LEMD,2021,5,7658.411764705882
EHAM,LEMD,2019,1,7287.811403508772
EHAM,LEMD,2022,9,7468.093596059113
EHAM,LEMD,2022,4,7481.920792079208
EHAM,LEMD,2021,8,7479.841463414634
EHAM,LEMD,2019,6,7915.995049504951
EHAM,LEMD,2019,4,7746.588235294118
EHAM,LEMD,2020,12,7315.25
EHAM,LEMD,2020,4,7549.2
EHAM,LEMD,2022,5,7523.07619047619
EHAM,LEMD,2022,11,7570.835978835978
EHAM,LEMD,2019,11,7548.532520325203
EHAM,LEMD,2022,2,7448.608433734939
EHAM,LEMD,2020,10,7439.068965517241
EHAM,LEMD,2021,1,7400.671052631579
EHAM,LEMD,2022,10,7836.574257425743
EHAM,LEMD,2019,12,7777.913043478261
EHAM,LEMD,2021,10,7427.5
EHAM,LEMD,2021,11,7186.098360655737
EHAM,LEMD,2021,4,7403.479166666667
EHAM,LEMD,2019,2,7533.519480519481
EHAM,LEMD,2020,11,7434.375
EHAM,LEMD,2021,2,7572.342857142857
EHAM,LEMD,2020,6,7524.428571428572
