origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,LFPG,2022,7,2772.070671378092
EHAM,LFPG,2019,10,2929.728997289973
EHAM,LFPG,2020,1,2792.793103448276
EHAM,LFPG,2022,3,3086.245283018868
EHAM,LFPG,2019,5,2889.885386819484
EHAM,LFPG,2019,3,2769.285318559557
EHAM,LFPG,2021,5,2848.153846153846
EHAM,LFPG,2019,1,2857.222580645161
EHAM,LFPG,2020,8,2882.054187192118
EHAM,LFPG,2021,3,2784.3888888888887
EHAM,LFPG,2020,9,2699.394736842105
EHAM,LFPG,2020,7,2830.801020408164
EHAM,LFPG,2020,5,3121.875
EHAM,LFPG,2020,4,3127.156626506024
EHAM,LFPG,2022,5,2818.5236486486488
EHAM,LFPG,2022,11,2762.492307692308
EHAM,LFPG,2019,11,2843.1013698630136
EHAM,LFPG,2022,2,2733.36328125
EHAM,LFPG,2020,10,2769.7945945945944
EHAM,LFPG,2021,1,2714.4554455445545
EHAM,LFPG,2022,10,2790.434306569343
EHAM,LFPG,2021,7,2800.8872180451126
EHAM,LFPG,2019,12,2876.7123287671234
EHAM,LFPG,2021,11,2703.2972027972028
EHAM,LFPG,2022,1,2714.716783216784
EHAM,LFPG,2019,2,2807.049853372434
EHAM,LFPG,2022,8,2947.231511254019
EHAM,LFPG,2019,9,2842.48595505618
EHAM,LFPG,2021,10,2773.7103174603176
EHAM,LFPG,2020,2,2833.185294117647
EHAM,LFPG,2021,4,2865.1436170212764
EHAM,LFPG,2020,3,2930.5544871794878
EHAM,LFPG,2020,11,2821.0280898876404
EHAM,LFPG,2021,2,2905.344262295082
EHAM,LFPG,2020,6,3039.983050847457
EHAM,LFPG,2022,6,2829.921348314607
EHAM,LFPG,2019,7,2961.8764367816093
EHAM,LFPG,2021,8,2847.3970588235293
EHAM,LFPG,2021,9,2778.9885496183206
EHAM,LFPG,2021,6,2855.506976744186
EHAM,LFPG,2020,12,2751.4656084656085
EHAM,LFPG,2022,9,2750.963099630996
EHAM,LFPG,2019,8,3062.155223880597
EHAM,LFPG,2022,4,2880.5482758620687
EHAM,LFPG,2019,6,3005.325077399381
EHAM,LFPG,2021,12,2713.1627906976746
EHAM,LFPG,2019,4,3185.867052023121
