origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,LIRF,2022,8,6400.471365638767
EHAM,LIRF,2019,9,6339.434065934066
EHAM,LIRF,2021,7,6342.771929824561
EHAM,LIRF,2020,2,6245.555555555556
EHAM,LIRF,2022,1,6314.6
EHAM,LIRF,2020,3,6212.69014084507
EHAM,LIRF,2022,7,6192.584112149532
EHAM,LIRF,2020,11,6350.333333333333
EHAM,LIRF,2019,10,6317.014423076923
EHAM,LIRF,2022,11,6394.382653061224
EHAM,LIRF,2022,3,6537.513812154696
EHAM,LIRF,2019,5,6744.796019900497
EHAM,LIRF,2021,3,6367.971830985915
EHAM,LIRF,2021,1,6268.481012658228
EHAM,LIRF,2022,9,6207.1506849315065
EHAM,LIRF,2022,4,6330.201058201058
EHAM,LIRF,2021,8,6202.545454545455
EHAM,LIRF,2019,6,7062.023041474655
EHAM,LIRF,2019,4,6857.217391304348
EHAM,LIRF,2019,3,6345.918803418804
EHAM,LIRF,2021,5,6363.549450549451
EHAM,LIRF,2019,1,6489.587628865979
EHAM,LIRF,2020,12,6378.469135802469
EHAM,LIRF,2022,6,6398.976958525345
EHAM,LIRF,2019,7,6544.2959183673465
EHAM,LIRF,2022,5,6320.173515981735
EHAM,LIRF,2021,10,6325.75
EHAM,LIRF,2021,9,6242.892857142857
EHAM,LIRF,2020,1,6304.58904109589
EHAM,LIRF,2021,6,6388.391304347826
EHAM,LIRF,2019,11,6584.461538461538
EHAM,LIRF,2021,4,6436.221052631579
EHAM,LIRF,2020,8,6386.517241379311
EHAM,LIRF,2022,2,6161.390243902439
EHAM,LIRF,2020,9,6286.892307692307
EHAM,LIRF,2020,10,6318.6
EHAM,LIRF,2020,5,8470.5
EHAM,LIRF,2020,7,6159.671052631579
EHAM,LIRF,2022,10,6238.5763546798025
EHAM,LIRF,2019,8,6432.757281553398
EHAM,LIRF,2019,12,6375.164102564103
EHAM,LIRF,2021,12,6217.219101123596
EHAM,LIRF,2021,11,6450.005681818182
EHAM,LIRF,2019,2,6623.5
EHAM,LIRF,2021,2,6294.485294117647
EHAM,LIRF,2020,6,6608.365384615385
