origin,destination,count
EHEH,EPGD,650
EHAM,LIRQ,993
EHAM,EGAC,1029
EHEH,EIDW,566
EHAM,EHWO,20
EHAM,LFNL,115
EHAM,LIRP,659
EHAM,EGGW,3443
EHAM,EETN,439
EHAM,LIBD,764
EHEH,LEMG,1503
EHEH,LFMY,39
EHAM,EGCN,3
EHAM,LDVA,16
EHAM,LSZH,5272
EHAM,EBMB,1227
EHAM,EPLE,200
EHRD,LFTH,45
EHBK,LSZM,138
EHAM,LPPR,1931
EHEH,LFMN,179
EHEH,LAGJ,15
EHAM,ENZV,1530
EHAM,EVRS,9
EHAM,LFLL,1650
EHAM,LFBO,2188
EHRD,LEIB,502
EHAM,LIMA,1010
EHEH,LFPG,5
EHAM,EGNT,2489
EHAM,LIMC,4423
EHAM,LGIK,19
EHAM,EGSH,1874
EHEH,EPLR,91
EHEH,LEMD,466
EHRD,LEAM,10
EHAM,EDFH,34
EHBK,LIMC,88
EHAM,EPGD,1930
EHEH,EGSS,2102
EHEH,LGRP,194
EHBK,LEZG,87
EHAM,EGMC,533
EHEH,EPSW,52
EHAM,LGSM,159
EHAM,LGMT,34
EHAM,LPMA,294
EHAM,LIML,4106
EHAM,EKYT,2067
EHAM,LGAX,6
EHRD,LIBR,131
EHEH,LIPE,383
EHAM,LOWS,476
EHAM,LFML,1505
EHRD,LFNG,26
EHEH,LPPR,529
EHAM,LJLJ,535
EHAM,LDSP,10
EHEH,LEZL,655
EHAM,EGAA,273
EHEH,LGKO,255
EHAM,ENTO,57
EHEH,LZIB,106
EHAM,EDDF,8034
EHRD,LICJ,102
EHEH,EPRJ,52
EHAM,EHBK,93
EHAM,LFRS,499
EHAM,EGSS,1478
EHAM,LFRN,154
EHRD,LEMD,5
EHAM,EKCH,8298
EHEH,EGCC,447
EHEH,LGTS,32
EHAM,ENSN,9
EHEH,EVRS,3
EHAM,LIMJ,915
EHEH,EYVI,302
EHRD,LIRF,313
EHAM,EDDM,8238
EHAM,LIPZ,2729
EHBK,LEBL,115
EHBK,LIBD,97
EHEH,LHBP,820
EHEH,LYBE,247
