origin,destination,year(firstseen),month(firstseen),count
EHEH,LPPR,2022,5,29
EHEH,LDRG,2022,5,8
EHEH,LGTS,2022,5,1
EHEH,EVRA,2022,5,9
EHEH,LIRP,2022,5,3
EHEH,EHGG,2022,5,5
EHEH,LEZL,2022,5,23
EHEH,LIPH,2022,5,9
EHEH,LIBR,2022,5,1
EHEH,EDDM,2022,5,1
EHEH,EPWR,2022,5,1
EHEH,LEPA,2022,5,55
EHEH,EPMR,2022,5,9
EHEH,EPKK,2022,5,21
EHEH,LZIB,2022,5,1
EHEH,LBWN,2022,5,1
EHEH,LGRP,2022,5,14
EHEH,LHBP,2022,5,14
EHEH,LGRD,2022,5,1
EHEH,LPPT,2022,5,37
EHEH,LFQQ,2022,5,1
EHEH,EKCH,2022,5,14
EHEH,LFML,2022,5,4
EHEH,LEBL,2022,5,50
EHEH,LERS,2022,5,4
EHEH,LPAR,2022,5,2
EHEH,EHRD,2022,5,1
EHEH,EGPH,2022,5,9
EHEH,EPLE,2022,5,3
EHEH,LMML,2022,5,1
EHEH,EPJS,2022,5,1
EHEH,LYBE,2022,5,16
EHEH,LIME,2022,5,3
EHEH,EYKA,2022,5,3
EHEH,LBSF,2022,5,12
EHEH,LEIB,2022,5,45
EHEH,EGCC,2022,5,12
EHEH,EIDW,2022,5,13
EHEH,LKPR,2022,5,21
EHEH,LFMN,2022,5,29
EHEH,LBWV,2022,5,7
EHEH,LEMD,2022,5,12
EHEH,LPFR,2022,5,64
EHEH,EYVI,2022,5,11
EHEH,LGKN,2022,5,1
EHEH,LEGE,2022,5,3
EHEH,LEAL,2022,5,77
EHEH,EGSS,2022,5,69
EHEH,LATI,2022,5,5
EHEH,EPPO,2022,5,9
EHEH,EPRJ,2022,5,7
EHEH,EPWS,2022,5,3
EHEH,EPWA,2022,5,10
EHEH,LFNR,2022,5,4
EHEH,EPMO,2022,5,3
EHEH,LEMG,2022,5,30
EHEH,EHAM,2022,5,2
EHEH,EPGD,2022,5,11
EHEH,LGKO,2022,5,14
EHEH,LFBT,2022,5,1
EHEH,EPKT,2022,5,15
EHEH,LRIA,2022,5,6
EHEH,EPLR,2022,5,1
EHEH,LGAV,2022,5,11
EHEH,LE84,2022,5,1
EHEH,LIPE,2022,5,22
EHEH,LIRF,2022,5,7
EHEH,EGPF,2022,5,1
EHEH,LFMN,2022,10,22
EHEH,EBCI,2022,10,1
EHEH,EPMO,2022,10,5
EHEH,LEGE,2022,10,1
EHEH,LKPR,2022,10,18
EHEH,LROP,2022,10,6
EHEH,LBLS,2022,10,4
EHEH,EYVI,2022,10,18
EHEH,EIDW,2022,10,9
EHEH,LEMD,2022,10,11
EHEH,LERS,2022,10,5
EHEH,LIPE,2022,10,18
EHEH,LEPA,2022,10,54
EHEH,EPLE,2022,10,5
EHEH,EPPO,2022,10,3
EHEH,LEIB,2022,10,49
EHEH,LGAV,2022,10,17
EHEH,LEZL,2022,10,26
EHEH,LBSF,2022,10,13
EHEH,EVRA,2022,10,1
EHEH,LPAR,2022,10,15
EHEH,LEBL,2022,10,55
EHEH,LIBR,2022,10,1
EHEH,EPRJ,2022,10,5
EHEH,LBWV,2022,10,5
EHEH,LPPR,2022,10,28
EHEH,LGRP,2022,10,13
EHEH,EBZU,2022,10,1
EHEH,LATI,2022,10,1
EHEH,LPFR,2022,10,73
EHEH,LGTS,2022,10,7
EHEH,LIME,2022,10,2
EHEH,EHRD,2022,10,1
EHEH,EPGD,2022,10,16
EHEH,LICC,2022,10,1
EHEH,LDRG,2022,10,1
EHEH,LFNR,2022,10,2
EHEH,EGPH,2022,10,6
EHEH,EGSS,2022,10,69
EHEH,LEMG,2022,10,63
EHEH,EGCC,2022,10,14
EHEH,EPWR,2022,10,1
EHEH,EBBR,2022,10,1
EHEH,LFMD,2022,10,2
EHEH,EPKK,2022,10,2
EHEH,LRCL,2022,10,8
EHEH,LZIB,2022,10,1
EHEH,LFBD,2022,10,1
EHEH,LIRP,2022,10,6
EHEH,LGKO,2022,10,9
EHEH,LPPT,2022,10,24
EHEH,LOWW,2022,10,1
EHEH,LEBB,2022,10,1
EHEH,EVEA,2022,10,1
EHEH,LEAL,2022,10,81
EHEH,EHAM,2022,10,7
EHEH,EKCH,2022,10,16
EHEH,LYBE,2022,10,15
EHEH,EPMR,2022,10,5
EHEH,LIRF,2022,10,4
EHEH,LFML,2022,10,4
EHEH,EYKA,2022,10,1
EHEH,LIPH,2022,10,4
EHEH,LAGJ,2022,10,3
EHEH,EPWA,2022,10,15
EHEH,EPKT,2022,10,7
EHEH,LSZH,2022,10,2
EHEH,LHBP,2022,10,24
EHEH,EGPE,2022,10,2
EHEH,LFNR,2021,7,1
EHEH,LIRP,2021,7,7
EHEH,EICK,2021,7,1
EHEH,LDRI,2021,7,1
EHEH,LYBE,2021,7,1
EHEH,LFML,2021,7,7
EHEH,LFMY,2021,7,1
EHEH,EYVI,2021,7,9
EHEH,LEAL,2021,7,71
EHEH,LKPR,2021,7,2
EHEH,LGRD,2021,7,1
EHEH,LHBP,2021,7,11
EHEH,EBMB,2021,7,1
EHEH,LYBT,2021,7,1
EHEH,LPFR,2021,7,56
EHEH,LGAV,2021,7,5
EHEH,EPMO,2021,7,2
EHEH,LIMC,2021,7,1
EHEH,LEAP,2021,7,1
EHEH,LIDU,2021,7,2
EHEH,EPWA,2021,7,3
EHEH,LBSB,2021,7,1
EHEH,LPBJ,2021,7,1
EHEH,LIPE,2021,7,11
EHEH,EPLR,2021,7,1
EHEH,LEMG,2021,7,57
EHEH,LIME,2021,7,2
EHEH,EPPO,2021,7,3
EHEH,EPKT,2021,7,9
EHEH,LOWG,2021,7,1
EHEH,LPPT,2021,7,20
EHEH,LGKO,2021,7,7
EHEH,EPWR,2021,7,1
EHEH,LEZL,2021,7,20
EHEH,LGRP,2021,7,4
EHEH,LEPA,2021,7,47
EHEH,LERS,2021,7,4
EHEH,LDRG,2021,7,5
EHEH,LROP,2021,7,10
EHEH,LIBR,2021,7,2
EHEH,LIPM,2021,7,1
EHEH,EHAM,2021,7,7
EHEH,EBBR,2021,7,3
EHEH,EPGD,2021,7,7
EHEH,LEIB,2021,7,55
EHEH,EGSS,2021,7,11
EHEH,LEMD,2021,7,9
EHEH,EHRD,2021,7,1
EHEH,EPSW,2021,7,1
EHEH,LPPR,2021,7,15
EHEH,LEBL,2021,7,34
EHEH,LIPH,2021,7,1
EHEH,LBWN,2021,7,2
EHEH,LBWV,2021,7,13
EHEH,LFMN,2021,7,7
EHEH,EPKK,2021,7,10
EHEH,LBSF,2021,7,10
EHEH,LGKN,2021,7,1
EHEH,EYKA,2021,7,1
EHEH,LPAR,2021,7,4
EHEH,LIRA,2021,7,2
EHEH,EYKA,2021,8,1
EHEH,EBBR,2021,8,1
EHEH,EPSW,2021,8,2
EHEH,LEBL,2021,8,54
EHEH,LFMN,2021,8,5
EHEH,LIRP,2021,8,8
EHEH,LICZ,2021,8,1
EHEH,LYBE,2021,8,5
EHEH,EPLR,2021,8,2
EHEH,LFMY,2021,8,2
EHEH,EPLB,2021,8,1
EHEH,LEIB,2021,8,58
EHEH,LEPA,2021,8,47
EHEH,LKPR,2021,8,14
EHEH,EYVI,2021,8,6
EHEH,LROP,2021,8,14
EHEH,LGAV,2021,8,8
EHEH,EPMR,2021,8,1
EHEH,LHBP,2021,8,19
EHEH,EPWA,2021,8,5
EHEH,LIMC,2021,8,2
EHEH,LIPE,2021,8,11
EHEH,LGRP,2021,8,5
EHEH,LDRG,2021,8,12
EHEH,LEAL,2021,8,76
EHEH,EGSS,2021,8,35
EHEH,LERS,2021,8,14
EHEH,LIDU,2021,8,4
EHEH,EPWR,2021,8,8
EHEH,LEMG,2021,8,35
EHEH,EBCI,2021,8,1
EHEH,LIRF,2021,8,1
EHEH,LE84,2021,8,1
EHEH,LEAX,2021,8,1
EHEH,EKBI,2021,8,1
EHEH,EPKK,2021,8,17
EHEH,EIDW,2021,8,9
EHEH,LPFR,2021,8,60
EHEH,LBWN,2021,8,2
EHEH,EPKT,2021,8,8
EHEH,LYBT,2021,8,3
EHEH,LDRI,2021,8,2
EHEH,LPAR,2021,8,5
EHEH,EVRA,2021,8,3
EHEH,LQPD,2021,8,1
EHEH,LQBK,2021,8,2
EHEH,LBSF,2021,8,3
EHEH,LEZL,2021,8,15
EHEH,LBWV,2021,8,11
EHEH,LPPR,2021,8,21
EHEH,LFML,2021,8,7
EHEH,EPGD,2021,8,14
EHEH,LPPT,2021,8,23
EHEH,EPPO,2021,8,2
EHEH,EHAM,2021,8,2
EHEH,EKKA,2021,8,1
EHEH,LGKO,2021,8,15
EHEH,LEMD,2021,8,8
EHEH,EYKA,2022,3,1
EHEH,EYVI,2022,3,9
EHEH,LIPH,2022,3,2
EHEH,EDDF,2022,3,1
EHEH,LFMY,2022,3,2
EHEH,EPMO,2022,3,2
EHEH,EPWA,2022,3,7
EHEH,EPRZ,2022,3,2
EHEH,EPLU,2022,3,1
EHEH,LE84,2022,3,3
EHEH,EPWR,2022,3,4
EHEH,EDDH,2022,3,1
EHEH,LROP,2022,3,1
EHEH,LHBP,2022,3,17
EHEH,LEPA,2022,3,16
EHEH,LKPR,2022,3,10
EHEH,LEIB,2022,3,8
EHEH,EPGD,2022,3,17
EHEH,EPLR,2022,3,1
EHEH,LEMD,2022,3,15
EHEH,LFMN,2022,3,6
EHEH,EIDW,2022,3,19
EHEH,LEAX,2022,3,1
EHEH,LPFR,2022,3,37
EHEH,EVEA,2022,3,1
EHEH,LIRF,2022,3,5
EHEH,LEAP,2022,3,1
EHEH,EINN,2022,3,1
EHEH,LOWS,2022,3,23
EHEH,LZIB,2022,3,2
EHEH,LPAR,2022,3,7
EHEH,LFML,2022,3,1
EHEH,LOWW,2022,3,2
EHEH,LYBE,2022,3,2
EHEH,EPPO,2022,3,1
EHEH,EGPH,2022,3,8
EHEH,LOWI,2022,3,45
EHEH,EPMR,2022,3,2
EHEH,EVRS,2022,3,1
EHEH,EDDM,2022,3,1
EHEH,LEBL,2022,3,34
EHEH,LFPG,2022,3,1
EHEH,EVRA,2022,3,3
EHEH,EPKK,2022,3,18
EHEH,LPPR,2022,3,22
EHEH,LIRP,2022,3,1
EHEH,EHRD,2022,3,1
EHEH,LEMG,2022,3,13
EHEH,LEAL,2022,3,61
EHEH,EKCH,2022,3,12
EHEH,LRIA,2022,3,3
EHEH,LBSF,2022,3,11
EHEH,LGAV,2022,3,9
EHEH,EPRJ,2022,3,2
EHEH,EPKT,2022,3,20
EHEH,EHAM,2022,3,5
EHEH,LFQQ,2022,3,1
EHEH,EBBR,2022,3,2
EHEH,LEZL,2022,3,31
EHEH,LBWV,2022,3,8
EHEH,EGSS,2022,3,61
EHEH,LIPQ,2022,3,1
EHEH,EGCC,2022,3,15
EHEH,LIME,2022,3,1
EHEH,LPPT,2022,3,17
EHEH,LFNR,2020,2,1
EHEH,LKPR,2020,2,12
EHEH,EPWR,2020,2,4
EHEH,LOWS,2020,2,26
EHEH,EPPO,2020,2,9
EHEH,EHRD,2020,2,2
EHEH,EIDW,2020,2,19
EHEH,EVRA,2020,2,13
EHEH,LFML,2020,2,2
EHEH,EDLR,2020,2,1
EHEH,LPVL,2020,2,1
EHEH,LROP,2020,2,2
EHEH,LOIR,2020,2,4
EHEH,LHDC,2020,2,3
EHEH,EKCH,2020,2,11
EHEH,EBBR,2020,2,1
EHEH,LZIB,2020,2,8
EHEH,LEBL,2020,2,12
EHEH,LEMU,2020,2,10
EHEH,LBWN,2020,2,2
EHEH,LPPT,2020,2,36
EHEH,LHBP,2020,2,5
EHEH,EYKS,2020,2,2
EHEH,EPGD,2020,2,15
EHEH,EGSS,2020,2,61
EHEH,LIRA,2020,2,1
EHEH,LIPH,2020,2,12
EHEH,LIDU,2020,2,1
EHEH,EPMR,2020,2,7
EHEH,LEGE,2020,2,1
EHEH,LOWW,2020,2,14
EHEH,ESSA,2020,2,4
EHEH,EPMO,2020,2,8
EHEH,EYRU,2020,2,3
EHEH,LPAR,2020,2,1
EHEH,LEPA,2020,2,14
EHEH,LEMD,2020,2,16
EHEH,LEAL,2020,2,19
EHEH,EYKA,2020,2,1
EHEH,LICZ,2020,2,5
EHEH,LIPE,2020,2,1
EHEH,EPKT,2020,2,29
EHEH,EPLE,2020,2,5
EHEH,LRPH,2020,2,1
EHEH,EHAM,2020,2,3
EHEH,LIBR,2020,2,2
EHEH,LEMG,2020,2,45
EHEH,LEZL,2020,2,11
EHEH,LKVO,2020,2,2
EHEH,EYVI,2020,2,2
EHEH,LPPR,2020,2,17
EHEH,LYBE,2020,2,5
EHEH,EYRD,2020,2,4
EHEH,EPSW,2020,2,2
EHEH,EGCC,2020,2,16
EHEH,EGPH,2020,2,7
EHEH,LELL,2020,2,1
EHEH,LEIB,2020,2,3
EHEH,LPFR,2020,2,37
EHEH,EPWA,2020,2,7
EHEH,LGAV,2020,2,11
EHEH,EPKK,2020,2,37
EHEH,LOWI,2020,2,4
EHEH,LE85,2020,2,9
EHEH,LEVC,2020,2,19
EHEH,EPLR,2020,2,3
EHEH,LYBT,2020,2,3
EHEH,LGKN,2020,2,2
EHEH,LIME,2020,2,17
EHEH,EGNX,2020,2,1
EHEH,EBZU,2019,5,1
EHEH,LEMD,2019,5,16
EHEH,LIRA,2019,5,14
EHEH,EPKK,2019,5,2
EHEH,LPFR,2019,5,63
EHEH,LROP,2019,5,23
EHEH,EBCI,2019,5,1
EHEH,EGCC,2019,5,18
EHEH,LIPM,2019,5,2
EHEH,LFML,2019,5,8
EHEH,EPMR,2019,5,1
