origin,destination,year(firstseen),month(firstseen),count
EHRD,EGLC,2022,6,58
EHRD,LFIB,2022,6,1
EHRD,LEBL,2022,6,29
EHRD,EKCH,2022,6,1
EHRD,LEAM,2022,6,1
EHRD,LFMT,2022,6,2
EHRD,LPAR,2022,6,3
EHRD,LGKO,2022,6,17
EHRD,LFCM,2022,6,3
EHRD,LFTH,2022,6,4
EHRD,LEGE,2022,6,1
EHRD,EGPH,2022,6,11
EHRD,LE84,2022,6,1
EHRD,LDPL,2022,6,13
EHRD,LEMG,2022,6,34
EHRD,LDDU,2022,6,11
EHRD,LEIB,2022,6,54
EHRD,LPPT,2022,6,14
EHRD,LKKB,2022,6,1
EHRD,LFTZ,2022,6,1
EHRD,EHAM,2022,6,4
EHRD,LIRZ,2022,6,10
EHRD,LGRP,2022,6,8
EHRD,LIRF,2022,6,16
EHRD,LIME,2022,6,5
EHRD,LEPA,2022,6,18
EHRD,LICP,2022,6,1
EHRD,LFBX,2022,6,2
EHRD,EGFF,2022,6,1
EHRD,EHEH,2022,6,4
EHRD,LIBR,2022,6,2
EHRD,LFNG,2022,6,1
EHRD,LICJ,2022,6,3
EHRD,LPFR,2022,6,40
EHRD,ESSA,2022,6,1
EHRD,EGPD,2022,6,1
EHRD,LEAL,2022,6,39
EHRD,EPWA,2022,6,2
EHRD,LFNL,2022,6,2
EHRD,LOWS,2022,7,1
EHRD,EHAM,2022,7,5
EHRD,LGKO,2022,7,16
EHRD,LDPL,2022,7,15
EHRD,LFTH,2022,7,6
EHRD,LEMG,2022,7,22
EHRD,LEGE,2022,7,1
EHRD,LFBX,2022,7,1
EHRD,EKCH,2022,7,2
EHRD,LICJ,2022,7,2
EHRD,EGLC,2022,7,52
EHRD,EGPH,2022,7,11
EHRD,LELL,2022,7,1
EHRD,LDPM,2022,7,6
EHRD,LFTF,2022,7,2
EHRD,EGCC,2022,7,1
EHRD,LICP,2022,7,1
EHRD,LFCM,2022,7,1
EHRD,EGGP,2022,7,1
EHRD,LFNG,2022,7,7
EHRD,LATI,2022,7,1
EHRD,LFNL,2022,7,2
EHRD,LEIB,2022,7,29
EHRD,LZIB,2022,7,1
EHRD,LDDU,2022,7,11
